Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
117915.1	Y	66	66.1	103	62	0.63	0.025	2.002	0.04	0.17897	0.00175	2.003	0.04	0.17875	0.0018	2611	43	2641	17	1.2					
117915.1	Y	64	64.1	416	184	0.46	0.074	2.05	0.036	0.17963	0.00074	2.052	0.036	0.17897	0.00078	2559	37	2643	7	3.2					
117915.1	Y	18	18.1	318	120	0.39	0.095	1.987	0.035	0.18016	0.00076	1.989	0.035	0.17931	0.0008	2626	38	2647	7	0.8					
117915.1	Y	32	32.1	196	169	0.89	0.013	1.94	0.035	0.18173	0.00095	1.94	0.035	0.18161	0.00095	2679	40	2668	9	-0.4					
117915.1	Y	26	26.1	449	355	0.82	0.037	1.966	0.035	0.18206	0.00058	1.967	0.035	0.18174	0.00059	2650	39	2669	5	0.7					
117915.1	Y	20	20.1	257	121	0.49	0.026	2.027	0.036	0.18211	0.00079	2.027	0.036	0.18188	0.00083	2585	38	2670	8	3.2					
117915.1	S	36	36.1	622	297	0.49	0.017	2.015	0.035	0.18211	0.00055	2.016	0.035	0.18197	0.00057	2597	37	2671	5	2.8					
117915.1	S	13	13.1	128	56	0.46	-0.055	1.972	0.037	0.18172	0.00113	1.971	0.037	0.18221	0.00116	2646	40	2673	11	1					
117915.1	S	19	19.1	132	44	0.35	0.137	2.038	0.041	0.18344	0.0011	2.04	0.041	0.18222	0.00126	2571	43	2673	11	3.8					
117915.1	S	63	63.1	166	98	0.61	-0.088	1.992	0.038	0.18152	0.00112	1.991	0.038	0.18231	0.00124	2624	41	2674	11	1.9					
117915.1	S	46	46.1	310	105	0.35	0.016	1.949	0.035	0.18269	0.0013	1.949	0.035	0.18254	0.00131	2669	39	2676	12	0.3					
117915.1	S	35	35.1	206	85	0.43	-0.016	2.058	0.037	0.18242	0.00093	2.057	0.037	0.18257	0.00096	2554	38	2676	9	4.6					
117915.1	S	62	62.1	124	64	0.54	-0.02	2.024	0.038	0.18262	0.00129	2.024	0.038	0.18279	0.0013	2589	41	2678	12	3.3					
117915.1	S	25	25.1	173	104	0.62	-0.009	2.026	0.037	0.18288	0.00099	2.026	0.037	0.18296	0.001	2586	39	2680	9	3.5					
117915.1	S	12	12.1	112	70	0.65	-0.114	1.979	0.037	0.18197	0.00122	1.977	0.037	0.18298	0.00129	2639	41	2680	12	1.5					
117915.1	S	11	11.1	54	42	0.8	0.077	2.128	0.046	0.18371	0.00181	2.13	0.046	0.18302	0.00189	2482	44	2680	17	7.4					
117915.1	S	54	54.1	166	124	0.77	0.865	2.052	0.039	0.19083	0.00128	2.07	0.039	0.18311	0.00194	2541	40	2681	18	5.2					
117915.1	S	51	51.1	110	43	0.4	0.016	2.018	0.04	0.18328	0.00147	2.019	0.04	0.18313	0.00152	2594	42	2681	14	3.3					
117915.1	S	31	31.1	139	46	0.34	0.003	1.954	0.036	0.18327	0.00111	1.954	0.036	0.18324	0.00113	2665	40	2682	10	0.7					
117915.1	S	65	65.1	229	107	0.48	-0.038	1.965	0.036	0.18294	0.00105	1.965	0.036	0.18328	0.00109	2652	40	2683	10	1.1					
117915.1	S	38	38.1	102	61	0.62	-0.062	1.971	0.04	0.18273	0.00137	1.969	0.04	0.18328	0.00137	2647	44	2683	12	1.3					
117915.1	S	2	2.1	98	58	0.61	-0.012	2.075	0.04	0.18319	0.00141	2.075	0.04	0.1833	0.00141	2536	41	2683	13	5.5					
117915.1	S	30	30.1	68	45	0.68	-0.066	1.926	0.039	0.18285	0.00163	1.925	0.039	0.18344	0.00167	2697	44	2684	15	-0.5					
117915.1	S	48	48.1	121	85	0.72	0.005	1.97	0.038	0.18352	0.00129	1.97	0.038	0.18348	0.00134	2646	41	2685	12	1.4					
117915.1	S	45	45.1	69	42	0.62	0.005	2.004	0.041	0.18352	0.00168	2.004	0.041	0.18348	0.00169	2609	43	2685	15	2.8					
117915.1	S	15	15.1	111	69	0.64	0.861	1.94	0.036	0.19124	0.00121	1.957	0.037	0.18356	0.00173	2661	41	2685	16	0.9					
117915.1	S	60	60.1	168	100	0.62	-0.056	1.97	0.037	0.18323	0.00107	1.969	0.037	0.18373	0.00111	2647	41	2687	10	1.5					
117915.1	S	34	34.1	163	89	0.56	-0.013	1.952	0.036	0.18365	0.00105	1.952	0.036	0.18376	0.00106	2667	40	2687	9	0.8					
117915.1	S	28	28.1	100	80	0.82	-0.035	2.02	0.038	0.18349	0.00134	2.019	0.038	0.18381	0.00134	2593	41	2688	12	3.5					
117915.1	S	39	39.1	129	31	0.25	-0.038	1.939	0.037	0.18405	0.00123	1.938	0.037	0.18439	0.00124	2682	42	2693	11	0.4					
117915.1	S	33	33.1	61	39	0.65	0.05	1.93	0.039	0.18504	0.00168	1.931	0.039	0.18459	0.00179	2690	45	2695	16	0.2					
117915.1	S	27	27.1	391	205	0.54	0.091	2.07	0.036	0.18627	0.00067	2.072	0.036	0.18546	0.00071	2539	37	2702	6	6.1					
117915.1	S	24	24.1	87	65	0.77	0.091	1.964	0.04	0.1868	0.00139	1.965	0.04	0.18599	0.00151	2652	44	2707	13	2					
117915.1	S	42	42.1	136	68	0.52	-0.017	1.916	0.036	0.1859	0.00119	1.916	0.036	0.18605	0.00119	2708	41	2708	11	0					
117915.1	S	3	3.1	51	17	0.35	0.781	1.875	0.042	0.19303	0.00198	1.89	0.043	0.18606	0.00292	2737	51	2708	26	-1.1					
117915.1	S	16	16.1	435	234	0.55	0.014	1.953	0.036	0.18644	0.00062	1.953	0.036	0.18631	0.00063	2665	40	2710	6	1.7					
117915.1	S	59	59.1	49	16	0.34	0.445	2.103	0.047	0.19095	0.00205	2.113	0.048	0.18698	0.00274	2498	47	2716	24	8					
117915.1	S	55	55.1	173	67	0.4	0.001	1.971	0.036	0.18765	0.00103	1.971	0.036	0.18764	0.00103	2646	40	2722	9	2.8					
117915.1	S	52	52.1	64	31	0.49	0.144	1.956	0.042	0.18893	0.00194	1.959	0.042	0.18765	0.00216	2658	47	2722	19	2.3					
117915.1	S	44	44.1	69	25	0.38	-0.006	1.804	0.039	0.18773	0.0016	1.803	0.039	0.18779	0.0016	2844	49	2723	14	-4.4					
117915.1	S	40	40.1	117	76	0.67	0	1.989	0.038	0.18784	0.00131	1.989	0.038	0.18784	0.00131	2626	41	2723	12	3.6					
117915.1	S	5	5.1	233	63	0.28	0.04	1.947	0.035	0.18821	0.00087	1.948	0.035	0.18785	0.0009	2671	39	2723	8	1.9					
117915.1	S	21	21.1	162	63	0.4	0.007	1.916	0.035	0.18872	0.00102	1.916	0.035	0.18866	0.00106	2707	40	2730	9	0.9					
117915.1	S	6	6.1	133	55	0.43	-0.002	1.947	0.036	0.18909	0.00116	1.947	0.036	0.18911	0.00116	2672	41	2734	10	2.3					
117915.1	S	22	22.1	120	83	0.71	0.005	1.921	0.036	0.18949	0.00118	1.921	0.036	0.18944	0.00119	2701	41	2737	10	1.3					
117915.1	S	29	29.1	99	41	0.43	0.037	1.908	0.036	0.19223	0.00131	1.909	0.036	0.1919	0.00135	2716	42	2758	12	1.5					
117915.1	S	41	41.1	207	55	0.28	0.003	1.875	0.034	0.19444	0.001	1.875	0.034	0.19441	0.00101	2755	41	2780	9	0.9					
117915.1	S	58	58.1	547	299	0.56	0.067	2.032	0.036	0.1957	0.00139	2.034	0.036	0.1951	0.0014	2578	37	2786	12	7.5					
117915.1	S	10	10.1	797	48	0.06	0.038	2.003	0.035	0.19828	0.0005	2.004	0.035	0.19794	0.00052	2610	37	2809	4	7.1					
117915.1	S	37	37.1	16	7	0.48	-0.81	2.061	0.068	0.19489	0.00371	2.044	0.068	0.2021	0.0062	2567	71	2843	50	9.7					
117915.1	S	14	14.1	520	122	0.24	0.009	1.803	0.032	0.21539	0.0006	1.803	0.032	0.21531	0.00061	2844	40	2946	5	3.5					
117915.1	S	56	56.1	229	174	0.78	0.005	1.759	0.032	0.21695	0.00093	1.759	0.032	0.2169	0.00093	2902	43	2958	7	1.9					
117915.1	S	17	17.1	350	237	0.7	-0.013	1.738	0.031	0.21719	0.00071	1.737	0.031	0.2173	0.00071	2931	42	2961	5	1					
117915.1	S	8	8.1	352	151	0.44	0.017	1.534	0.027	0.26663	0.00081	1.534	0.027	0.26649	0.00082	3236	45	3285	5	1.5					
117915.1	S	4	4.1	721	305	0.44	0.04	1.608	0.028	0.29841	0.00243	1.609	0.028	0.29807	0.00243	3116	43	3460	13	9.9					
117915.1	P	61	61.1	1010	242	0.25	0.181	2.164	0.038	0.16359	0.00361	2.168	0.038	0.16198	0.00363	2445	35	2476	38	1.3					
117915.1	P	1	1.1	880	364	0.43	0.211	2.316	0.04	0.16073	0.00047	2.321	0.04	0.15885	0.00054	2310	34	2443	6	5.5					
117915.1	P	23	23.1	944	500	0.55	0.216	2.342	0.04	0.15019	0.00041	2.347	0.04	0.14827	0.00048	2288	33	2326	6	1.7					
117915.1	P	49	49.1	1333	627	0.49	0.19	2.69	0.046	0.14006	0.00042	2.695	0.046	0.13838	0.0005	2034	30	2207	6	7.8					
117915.1	P	53	53.1	2279	562	0.25	0.168	2.525	0.043	0.13866	0.00033	2.529	0.043	0.13717	0.00038	2148	31	2192	5	2					
117915.1	P	43	43.1	1995	652	0.34	0.264	2.801	0.048	0.12853	0.00084	2.808	0.048	0.12621	0.00091	1964	29	2046	13	4					
117915.1	P	47	47.1	2665	53	0.02	0.462	2.973	0.051	0.12137	0.00029	2.986	0.051	0.11732	0.00046	1862	28	1916	7	2.8					
117915.1	P	67	9.2	8416	1661	0.2	0.222	2.899	0.049	0.11339	0.00021	2.906	0.049	0.11145	0.00026	1907	28	1823	4	-4.6					
117915.1	P	9	9.1	7922	1503	0.2	0.223	3.027	0.051	0.10873	0.00047	3.033	0.052	0.10679	0.0005	1837	27	1745	9	-5.2					
117915.1	D	57	57.1	780	303	0.4	0.095	2.417	0.042	0.16457	0.0005	2.419	0.042	0.16372	0.00053	2230	33	2494	5	10.6					
117915.1	D	50	50.1	181	68	0.39	0.068	2.212	0.041	0.18443	0.00118	2.214	0.041	0.18382	0.00123	2403	37	2688	11	10.6					
117915.1	D	7	7.1	682	284	0.43	0.031	2.489	0.043	0.16646	0.00105	2.49	0.043	0.16618	0.00107	2176	32	2520	11	13.6					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
