Geochronid	Grp no	Spot no	Grain spot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	Calibration Uncertainty included	calibration const	1 sigma external error	1 sigma internal error	ComPb_cor_meth
GSWA_220110.1	Y	17	110-17	74.5	124.6	1.672483221		12.28199	0.0716525	0.0608	0.0012					504.5932023	2.831507165	632.1660041	42.5029269	20.18026926					204
GSWA_220110.1	S	3	110-3	99.9	228.7	2.289289289		12.31527	0.05763305	0.0568	0.00095					503.2814899	2.265666034	483.7765434	36.93372002	-4.031809059					204
GSWA_220110.1	S	120	110-120	176.8	363	2.053167421		11.90193	0.0517044	0.0575	0.00075					520.0731071	2.170569196	510.7619169	28.67020519	-1.823000093					204
GSWA_220110.1	S	147	110-147	101.5	218	2.147783251		11.80498	0.0648013	0.0621	0.0012					524.1752227	2.76348915	677.5542339	41.30164563	22.63715634					204
GSWA_220110.1	S	150	110-150	187.7	286.5	1.52637187		11.83012	0.05318165	0.0587	0.0008					523.1053023	2.258708284	555.987362	29.7267105	5.914173946					204
GSWA_220110.1	S	99	110-99	94.9	117.3	1.236037935		11.79106	0.06742915	0.0577	0.00095					524.7695226	2.882083142	518.3890653	36.14257785	-1.230824062					204
GSWA_220110.1	S	36	110-36	193.4	238.7	1.234229576		11.69864	0.05269045	0.0578	0.0007					528.7497527	2.286427975	522.1890215	26.56806211	-1.256390098					204
GSWA_220110.1	S	133	110-133	148.9	451	3.028878442		11.68907	0.049871545	0.0572	0.00075					529.165356	2.167510827	499.2524834	28.87743412	-5.991532045					204
GSWA_220110.1	S	57	110-57	123	264	2.146341463		11.63603	0.06228265	0.0594	0.00085					531.4806657	2.7306737	581.7880374	31.0767597	8.647027513					204
GSWA_220110.1	S	52	110-52	61.8	118.8	1.922330097		11.62791	0.08112495	0.0589	0.0012					531.8369117	3.561553791	563.4017546	44.38295032	5.602546081					204
GSWA_220110.1	S	141	110-141	74	113.6	1.535135135		11.62791	0.0743645	0.0557	0.00105					531.8369117	3.264755995	440.4299106	41.94075334	-20.75404028					204
GSWA_220110.1	S	122	110-122	173	540	3.121387283		11.50086	0.0621668	0.0582	0.00075					537.4738228	2.787446304	537.2990107	28.19748264	-0.032535342					204
GSWA_220110.1	S	132	110-132	197	223.2	1.132994924		11.44427	0.05435305	0.0608	0.0008					540.0232583	2.460280385	632.1660041	28.3352846	14.57571986					204
GSWA_220110.1	S	91	110-91	85.1	247.6	2.909518214		11.41553	0.0716728	0.0594	0.001					541.3273122	3.259952208	581.7880374	36.56089377	6.954547464					204
GSWA_220110.1	S	112	110-112	134.4	137.8	1.025297619		11.3701	0.058822	0.0574	0.0008					543.4015642	2.696003785	506.9346422	30.65489826	-7.193614121					204
GSWA_220110.1	S	149	110-149	212	198.1	0.934433962		11.22839	0.0605168	0.0605	0.00065					549.9752138	2.841236537	621.5045106	23.1777174	11.50905513					204
GSWA_220110.1	S	31	110-31	310	403.4	1.301290323		10.9553	0.045607085	0.05776	0.00055					563.1028994	2.244738561	520.6701242	20.89477673	-8.149646627					204
GSWA_220110.1	S	79	110-79	182.5	183.6	1.006027397		10.65303	0.045394825	0.0611	0.0007					578.3843565	2.357287412	642.7562766	24.62824719	10.01498118					204
GSWA_220110.1	S	21	110-21	101.7	87.3	0.85840708		10.61797	0.049606125	0.0601	0.0009					580.2107243	2.592279134	607.1768115	32.38325408	4.441224823					204
GSWA_220110.1	S	35	110-35	106.9	101.4	0.948550047		10.46463	0.051469	0.0592	0.00085					588.336144	2.76554045	574.4589991	31.22027475	-2.415689342					204
GSWA_220110.1	S	37	110-37	403	172.3	0.427543424		10.22077	0.0355178	0.0594	0.00055					601.7379583	1.996447927	581.7880374	20.10849157	-3.429070326					204
GSWA_220110.1	S	43	110-43	77.9	205	2.631578947		10.07861	0.05586815	0.0613	0.00105					609.8363634	3.22549655	649.7773358	36.77897993	6.146870648					204
GSWA_220110.1	S	5	110-5	82.5	27.71	0.335878788		10.03009	0.0553315	0.0613	0.00095					612.6505578	3.22408708	649.7773358	33.27621994	5.7137693					204
GSWA_220110.1	S	92	110-92	115.5	23.8	0.206060606		9.99001	0.0598802	0.0614	0.0008					614.9949052	3.515907471	653.2762273	27.96022773	5.859898226					204
GSWA_220110.1	S	32	110-32	199.9	52.8	0.264132066		9.975062	0.041790785	0.0614	0.0007					615.8738427	2.460799039	653.2762273	24.46519926	5.725355216					204
GSWA_220110.1	S	28	110-28	184.6	165.2	0.894907909		9.94629	0.039571475	0.059	0.00065					617.5727236	2.343000476	567.0960442	23.98504144	-8.900904864					204
GSWA_220110.1	S	64	110-64	319	164	0.514106583		9.770396	0.04343459	0.06088	0.00055					628.1660714	2.660786902	634.9970032	19.44574873	1.075742374					204
GSWA_220110.1	S	45	110-45	115.2	65.1	0.565104167		9.156671	0.04611454	0.0637	0.0008					668.1582356	3.196443934	731.6846371	26.60607288	8.682210658					204
GSWA_220110.1	S	81	110-81	95.4	57.7	0.604821803		8.818342	0.05054605	0.0623	0.00085					692.4634876	3.7633996	684.4228961	29.12847127	-1.174798737					204
GSWA_220110.1	S	10	110-10	176.6	134.4	0.761041903		8.635579	0.04847259	0.06584	0.00065					706.3441188	3.755304461	801.2931666	20.6812785	11.84947679					204
GSWA_220110.1	S	41	110-41	266.2	206.7	0.776483847		8.648275	0.03552651	0.06296	0.0006					705.361894	2.744679175	706.8798914	20.27093638	0.214746163					204
GSWA_220110.1	S	15	110-15	224	148.6	0.663392857		7.988497	0.03190804	0.0645	0.0007					760.3095362	2.864614455	758.068456	22.89342707	-0.295630315					204
GSWA_220110.1	S	137	110-137	135.9	64.5	0.474613687		7.799095	0.036495535	0.0664	0.0007					777.7029748	3.428275562	819.0104391	22.02193336	5.043582155					204
GSWA_220110.1	S	19	110-19	480	278	0.579166667		7.763975	0.03918155	0.0663	0.00047					781.0161085	3.712056344	815.8612873	14.81589081	4.270968523					204
GSWA_220110.1	S	72	110-72	322	215.9	0.670496894		7.719623	0.027114625	0.06522	0.00055					785.2407697	2.596737252	781.4414007	17.72222593	-0.486200116					204
GSWA_220110.1	S	131	110-131	131.7	81.6	0.619589977		7.686395	0.0354484	0.0644	0.00075					788.4359426	3.422571818	754.7945623	24.5797678	-4.45702473					204
GSWA_220110.1	S	101	110-101	113.4	120.9	1.066137566		7.632423	0.034952325	0.0656	0.00085					793.6816975	3.41978758	793.6383626	27.17698416	-0.005460281					204
GSWA_220110.1	S	127	110-127	222.4	132.2	0.59442446		7.467145	0.030667035	0.06483	0.0006					810.1895193	3.126787827	768.8242099	19.48918532	-5.380333874					204
GSWA_220110.1	S	82	110-82	434	470	1.082949309		7.403569	0.027406415	0.06615	0.00055					816.7240311	2.839654721	811.1256666	17.39019076	-0.690196932					204
GSWA_220110.1	S	73	110-73	142.1	112.6	0.792399719		7.132159	0.030520615	0.0668	0.0007					845.8498264	3.392224669	831.5441405	21.84646729	-1.720376014					204
GSWA_220110.1	S	78	110-78	328.1	165.5	0.504419384		6.744453	0.025018205	0.06777	0.00055					891.2583781	3.087712609	861.528074	16.8393014	-3.450880481					204
GSWA_220110.1	S	39	110-39	300	227.1	0.757		6.676013	0.02674149	0.06806	0.0005					899.7860994	3.363960845	870.3818563	15.22198384	-3.378315259					204
GSWA_220110.1	S	11	110-11	169.7	82.2	0.484384207		6.645843	0.02650034	0.0689	0.00065					903.5974539	3.361972821	895.7476807	19.46970121	-0.876337541					204
GSWA_220110.1	S	27	110-27	53.4	59.8	1.119850187		6.587615	0.03905701	0.0688	0.001					911.0455552	5.037136296	892.7494633	30.01099624	-2.04940946					204
GSWA_220110.1	S	76	110-76	303.6	248.2	0.817523057		6.568576	0.023730405	0.06942	0.00055					913.5076394	3.077074069	911.2461861	16.31145246	-0.248171487					204
GSWA_220110.1	S	14	110-14	78.3	24.18	0.308812261		6.55308	0.03006	0.0703	0.0008					915.5214115	3.915052834	937.1283369	23.3347738	2.305652762					204
GSWA_220110.1	S	46	110-46	125.5	194.8	1.552191235		6.501951	0.029592755	0.0715	0.0008					922.2293914	3.910980843	971.742475	22.82105024	5.095288609					204
GSWA_220110.1	S	77	110-77	64	38.4	0.6		6.485084	0.04205632	0.0704	0.001					924.4639459	5.5851802	940.0424538	29.11390262	1.65721323					204
GSWA_220110.1	S	62	110-62	85	42.8	0.503529412		6.459948	0.0312982	0.0709	0.0008					927.814185	4.186708697	954.5317238	23.07518215	2.799020513					204
GSWA_220110.1	S	142	110-142	115.7	131.7	1.138288678		6.435006	0.028986515	0.0703	0.00075					931.1626975	3.905565538	937.1283369	21.87635043	0.636587233					204
GSWA_220110.1	S	63	110-63	314.4	140.8	0.44783715		6.430868	0.02481364	0.07019	0.0006					931.7205752	3.34733779	933.9164941	17.53722857	0.235130109					204
GSWA_220110.1	S	60	110-60	131	108.9	0.83129771		6.40615	0.02872713	0.0718	0.0007					935.0670084	3.903200296	980.276877	19.85898192	4.6119489					204
GSWA_220110.1	S	100	110-100	114.7	37.7	0.328683522		6.418485	0.028837865	0.0698	0.00075					933.3940364	3.904213478	922.4753653	22.08318362	-1.183627385					204
GSWA_220110.1	S	18	110-18	299.3	154.7	0.516872703		6.41478	0.02468964	0.07011	0.0006					933.8959078	3.34620795	931.5764392	17.56360783	-0.248983182					204
GSWA_220110.1	S	42	110-42	498	200.9	0.403413655		6.393862	0.02452888	0.0697	0.0005					936.7395899	3.344731998	919.5281548	14.74999927	-1.871768147					204
GSWA_220110.1	S	49	110-49	176	210.1	1.19375		6.385696	0.02854398	0.0705	0.00075					937.8544246	3.901513074	942.9511239	21.79464941	0.540505147					204
GSWA_220110.1	S	88	110-88	500	164.6	0.3292		6.381621	0.026471305	0.07059	0.0005					938.4117445	3.622520119	945.5642861	14.5053825	0.756431023					204
GSWA_220110.1	S	117	110-117	361	479	1.326869806		6.321512	0.021978835	0.07063	0.00055					946.710356	3.06126643	946.7242841	15.94402736	0.001471197					204
GSWA_220110.1	S	40	110-40	227.3	140.8	0.619445667		6.297229	0.04163785	0.07148	0.0006					950.1047006	5.841159154	971.1718439	17.12207634	2.169249806					204
GSWA_220110.1	S	102	110-102	162.2	94.6	0.58323058		6.281407	0.03156486	0.072	0.0007					952.3294942	4.448871192	985.9405279	19.78665834	3.409032566					204
GSWA_220110.1	S	71	110-71	92.4	76.7	0.83008658		6.277464	0.029554915	0.0721	0.0008					952.8855607	4.170456768	988.7646224	22.57221138	3.628675708					204
GSWA_220110.1	S	90	110-90	186.4	115.3	0.618562232		6.277464	0.027584585	0.07137	0.00055					952.8855607	3.892425988	968.0296209	15.72701443	1.564421155					204
GSWA_220110.1	S	134	110-134	415	197.4	0.475662651		6.261741	0.02548611	0.07036	0.00055					955.1094007	3.613149265	938.8774617	16.02463779	-1.728866618					204
GSWA_220110.1	S	22	110-22	874	79.3	0.090732265		6.257822	0.02545422	0.07074	0.000475					955.6653188	3.612837935	949.9098255	13.74167026	-0.60589891					204
GSWA_220110.1	S	51	110-51	253.1	2.987	0.011801659		6.250391	0.0253938	0.07148	0.0006					956.7212033	3.612245731	971.1718439	17.12207634	1.487959189					204
GSWA_220110.1	S	146	110-146	363.2	159.5	0.439151982		6.246877	0.02341408	0.07091	0.00055					957.2213285	3.334121779	954.8201368	15.86124537	-0.251481041					204
GSWA_220110.1	S	111	110-111	471	165.2	0.3507431		6.244926	0.025349415	0.07072	0.0005					957.4992281	3.611810003	949.3311212	14.47029913	-0.860406517					204
GSWA_220110.1	S	16	110-16	122.8	417.9	3.403094463		6.234414	0.02720754	0.0718	0.00085					958.9993392	3.888736219	980.276877	24.11447804	2.170564086					204
GSWA_220110.1	S	108	110-108	145.8	78.8	0.540466392		6.238303	0.0272415	0.07117	0.0006					958.4438124	3.889072139	962.3001565	17.22011796	0.400742333					204
