Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
211111.1	I	2	2.1	104.05	51.802	0.49786	0.022249	1.6821	0.024239	0.21795	0.0014576	1.6825	0.024247	0.21775	0.0014713	3007.1	35.107	2964.1	10.894	-1.4493	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	1	1.1	83.062	41.78	0.503	0.080685	1.7271	0.026328	0.21878	0.001805	1.7285	0.026362	0.21806	0.0018532	2942.7	36.462	2966.4	13.701	0.79986	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	4	4.1	280.3	229.57	0.81902	0.070986	1.7179	0.019049	0.21896	0.00083728	1.7191	0.019067	0.21833	0.00086128	2955.7	26.887	2968.4	6.3583	0.43041	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	11	11.1	301.25	217.84	0.72314	0.022723	1.7394	0.019441	0.21885	0.00086457	1.7398	0.019447	0.21865	0.00087257	2927.5	26.878	2970.8	6.431	1.4583	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	10	10.1	211.78	113.92	0.53791	0.011254	1.7865	0.021444	0.21894	0.0010534	1.7867	0.021447	0.21884	0.0010583	2865.3	28.284	2972.2	7.7921	3.5953	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	5	5.1	125.73	73.689	0.5861	0.1065	1.753	0.023189	0.22032	0.0013164	1.7548	0.023226	0.21937	0.0013732	2907.2	31.454	2976.1	10.083	2.3135	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	12	12.1	160.02	104.31	0.65188	0.074826	1.753	0.022333	0.22029	0.001215	1.7543	0.022358	0.21962	0.0012517	2908	30.33	2977.9	9.1787	2.3499	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	13	13.1	245.95	112.41	0.45705	0.064443	1.804	0.020812	0.22033	0.00095838	1.8052	0.02083	0.21976	0.00098308	2841.6	27.044	2979	7.2038	4.6112	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	9	9.1	162.89	109.87	0.67453	-0.025878	1.7897	0.022271	0.22003	0.0011267	1.7892	0.022267	0.22026	0.0011381	2862.1	29.26	2982.6	8.318	4.0405	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	14	14.1	120.57	49.233	0.40834	1E-10	1.7313	0.024135	0.22041	0.0014211	1.7313	0.024135	0.22041	0.0014211	2938.9	33.369	2983.7	10.379	1.5013	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	3	3.1	55.62	25.271	0.45434	-0.040394	1.7059	0.029988	0.22022	0.0020025	1.7052	0.029984	0.22058	0.0020335	2975	42.284	2984.9	14.838	0.33252	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	8	8.1	134.86	71.984	0.53376	-0.050668	1.6906	0.022468	0.22017	0.0012888	1.6898	0.022462	0.22062	0.001314	2996.7	32.368	2985.3	9.5857	-0.38277	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	15	15.1	105.49	45.451	0.43083	-0.067618	1.7243	0.024907	0.22057	0.001487	1.7231	0.0249	0.22117	0.0015257	2950.1	34.663	2989.2	11.099	1.308	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	6	6.1	152.17	91.969	0.6044	1E-10	1.7553	0.022407	0.22123	0.0011962	1.7553	0.022407	0.22123	0.0011962	2906.6	30.366	2989.7	8.6993	2.7794	TRUE	0.005533088	0.802448203	0.318135141	204
211111.1	I	7	7.1	78.194	35.576	0.45497	0.028674	1.7521	0.027113	0.22192	0.0016759	1.7526	0.027126	0.22167	0.0016956	2910.2	36.662	2992.9	12.303	2.7614	TRUE	0.005533088	0.802448203	0.318135141	204
