Geochronid	Grp no	Spot no	Grain spot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	Calibration Uncertainty included	calibration const	1 sigma external error	1 sigma internal error	ComPb_cor_meth
GSWA_214315.1	I	1	315-1.1	375.2075149537	237.0897371344	0.6527419860	-0.0051129832	1.9464051743	0.0174940491	0.1856842106	0.0007180447	1.9463056600	0.0174934377	0.1857300223	0.0007194640	2672.8059600275	19.8133556925	2704.7143197820	6.3930262131	1.1830000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	2	315-2.1	198.4270770590	119.4201994521	0.6216947196	0.0578048492	1.9843680533	0.0214037595	0.1869216585	0.0009212149	1.9855157777	0.0214212703	0.1864037457	0.0009454309	2629.4524012724	23.5065890433	2710.6884055156	8.3658974022	3.0247000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	3	315-3.1	294.4007801691	93.5845574390	0.3283715749	0.3193530191	1.9849172698	0.0194884546	0.1898142289	0.0008448115	1.9912764713	0.0195922473	0.1869529416	0.0010209465	2623.2027965148	21.3790395704	2715.5398695735	9.0035072005	3.4242000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	4	315-4.1	186.0195343990	105.3990720845	0.5853000429	0.1378346552	1.9578728579	0.0222232550	0.1870628782	0.0009901771	1.9605752100	0.0222676367	0.1858278819	0.0010531658	2656.8617081747	24.9661907511	2705.5836187879	9.3525518253	1.8108000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	5	315-5.1	184.8284774937	128.3631163021	0.7174170395	0.2511386956	2.1234478967	0.0240398640	0.1890927406	0.0010094340	2.1287941225	0.0241283145	0.1868426256	0.0011224686	2482.4624412786	23.5771128152	2714.5666856824	9.9055504189	8.5820000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	6	315-6.1	109.5693490610	185.8435898961	1.7520997433	0.4609342006	2.0374591440	0.0279417942	0.1896912483	0.0012841517	2.0468939784	0.0281406979	0.1855610609	0.0015509420	2564.3783549178	29.4253009824	2703.2121716171	13.7958733198	5.1424000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	7	315-7.1	108.2044324124	52.6146218922	0.5022983181	0.1233402528	2.0253282697	0.0285548353	0.1838221408	0.0012634554	2.0278293996	0.0286083730	0.1827169472	0.0013424824	2584.2387321686	30.3944937043	2677.6869391215	12.1565590319	3.5101000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	8	315-8.1	71.0314367960	44.7713018776	0.6511026234	0.0606058581	2.0005524754	0.0331138783	0.1863432051	0.0015285103	2.0017656627	0.0331450766	0.1858001607	0.0015765036	2611.9003857202	36.0564775914	2705.3374217951	14.0024210065	3.4381000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	I	9	315-9.1	141.8087713390	423.3668479828	3.0839979067	0.5193725659	2.2540074163	0.0280380360	0.1918921145	0.0011927484	2.2657752313	0.0283050900	0.1872390785	0.0015788025	2356.6814217336	24.9229477179	2718.0610245689	13.8985798914	13.2820000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
GSWA_214315.1	X	10	315-10.1	44.3390882775	16.7514443338	0.3902705867	0.8525925260	1.7331133300	0.0352427317	0.2245575419	0.0020324420	1.7480167905	0.0356969171	0.2169527906	0.0026417221	2916.3423154962	48.7194627426	2958.2117641462	19.6435412515	1.4199000000	TRUE	0.0045728572	0.5000000000	0.1890541471	204
