Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
242490.1	I	10	10.1	156.25	272.83	1.7461	1.7187E-18	1.9581	0.019205	0.1828	0.00094254	1.9581	0.019205	0.1828	0.00094254	2659.6	21.484	2678.4	8.5307	0.70191	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	7	7.1	150.43	73.588	0.48917	0.094663	1.9681	0.019784	0.18375	0.00099322	1.97	0.019815	0.18291	0.0010442	2646.5	21.939	2679.4	9.4445	1.2289	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	14	14.1	524.33	700.5	1.336	0.0037446	2.0453	0.015047	0.18318	0.00053685	2.0454	0.015047	0.18315	0.00053791	2565.9	15.709	2681.6	4.8577	4.3127	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	11	11.1	233.02	455.9	1.9565	0.052093	1.9733	0.017403	0.18492	0.00080798	1.9743	0.017417	0.18445	0.00083039	2641.7	19.241	2693.3	7.4378	1.9161	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	1	1.1	81.262	62.024	0.76326	0.48206	1.9714	0.024088	0.18882	0.0012868	1.9809	0.024291	0.18452	0.0015878	2634.5	26.605	2693.9	14.216	2.2064	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	6	6.1	108.66	160.68	1.4788	0.016518	1.9975	0.021506	0.18468	0.0011009	1.9978	0.021512	0.18453	0.0011109	2616.1	23.251	2694	9.9456	2.8919	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	9	9.1	368.05	157.98	0.42924	0.010576	1.9669	0.01555	0.18466	0.00063082	1.9671	0.015552	0.18456	0.00063441	2649.6	17.313	2694.3	5.6784	1.6575	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	3	3.1	528.4	453.72	0.85867	0.035748	1.9787	0.014553	0.18517	0.00052123	1.9794	0.014559	0.18485	0.00053108	2636.2	16.059	2696.9	4.7451	2.2508	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	12	12.1	197.02	220.41	1.1187	0.029064	1.9895	0.018174	0.18563	0.0008524	1.9901	0.018182	0.18537	0.0008657	2624.5	19.812	2701.5	7.7098	2.8498	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	2	2.1	128.37	148.81	1.1593	-0.015924	2.0021	0.020973	0.18614	0.001086	2.0018	0.020972	0.18629	0.0010951	2611.9	22.598	2709.6	9.697	3.6086	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	I	4	4.1	136.08	173.78	1.277	0.027788	1.9529	0.019923	0.18664	0.001022	1.9534	0.019933	0.1864	0.0010372	2664.8	22.378	2710.6	9.1784	1.6898	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	X	8	8.1	461.97	228.59	0.49483	0.011588	1.9693	0.014772	0.18794	0.00055268	1.9695	0.014774	0.18783	0.00055596	2646.9	16.427	2723.3	4.8764	2.8027	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	X	5	5.1	253.24	83.833	0.33105	-2.7909E-10	1.9665	0.01704	0.18808	0.00078124	1.9665	0.01704	0.18808	0.00078124	2650.3	18.954	2725.4	6.8421	2.7554	TRUE	0.005482364	0.533556996	0.255343905	204
242490.1	D	13	13.1	975.99	1574.5	1.6132	0.015179	2.177	0.027759	0.18039	0.00040334	2.1774	0.027764	0.18026	0.00040663	2436.3	25.941	2655.2	3.7404	8.244	TRUE	0.005482364	0.533556996	0.255343905	204
