Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
231273.1	I	7	4.1	127.31	107.57	0.84494	0.070438	1.9744	0.023378	0.18204	0.0012942	1.9758	0.023409	0.18141	0.001345	2640	26.096	2665.8	12.281	0.96883	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	8	5.1	283.44	109.72	0.38709	-0.021056	1.8969	0.017702	0.18143	0.00086681	1.8965	0.017701	0.18162	0.00087674	2730	21.354	2667.7	7.9948	-2.3346	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	20	16.1	124.83	106.96	0.85684	1.37E-29	1.9505	0.037193	0.18167	0.0013587	1.9505	0.037193	0.18167	0.0013587	2668.2	41.939	2668.2	12.385	0.0017202	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	9	6.1	801.1	674.72	0.84224	0.0078249	1.8963	0.01888	0.18181	0.00054184	1.8965	0.018882	0.18174	0.00054413	2730.1	22.706	2668.8	4.9579	-2.2951	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	16	12.1	110.64	122.9	1.1108	0.060768	1.982	0.025142	0.18261	0.0014833	1.9832	0.025172	0.18207	0.001533	2632	27.829	2671.8	13.938	1.4912	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	17	13.1	166.13	116.68	0.70236	8.95E-11	1.9809	0.021444	0.18207	0.0011244	1.9809	0.021444	0.18207	0.0011244	2634.4	23.879	2671.8	10.224	1.3983	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	15	11.1	200.63	66.219	0.33006	1.15E-01	2.0013	0.020379	0.18335	0.0010203	2.0036	0.020419	0.18233	0.0010837	2609.9	22.361	2674.2	9.8373	2.4029	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	19	15.1	161.07	177.36	1.1011	5.83E-02	1.9982	0.03994	0.18287	0.0011829	1.9993	0.039969	0.18235	0.0012211	2614.5	43.219	2674.4	11.083	2.2368	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	10	6.2	173.72	75.992	0.43743	-1.91E-02	1.9801	0.021602	0.18226	0.0019518	1.9798	0.021601	0.18243	0.0019588	2635.7	24.071	2675.1	17.77	1.4719	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	3	2.1	230.04	70.837	0.30793	1.3693E-29	1.8913	0.027814	0.18245	0.00096588	1.8913	0.027814	0.18245	0.00096588	2736.1	33.163	2675.3	8.761	-2.2742	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	6	3.2	89.852	70.689	0.78672	1.37E-29	1.9917	0.026225	0.18246	0.0014501	1.9917	0.026225	0.18246	0.0014501	2622.7	28.756	2675.4	13.152	1.9672	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	1	1.1	104.33	237.3	2.2745	0.23361	1.9484	0.11709	0.18486	0.0026148	1.953	0.11737	0.18278	0.0027118	2665.3	131.28	2678.3	24.547	0.48408	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	5	3.1	219.38	73.526	0.33516	1.29E-02	1.9727	0.019457	0.18293	0.00096582	1.973	0.019462	0.18282	0.00097281	2643.2	21.907	2678.6	8.8036	1.3214	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	4	2.2	111.68	201.22	1.8017	0.024855	1.987	0.037091	0.18314	0.0013467	1.9875	0.037104	0.18292	0.0013652	2627.3	40.556	2679.5	12.347	1.9481	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	18	14.1	150.29	91.942	0.61178	0.045829	1.9959	0.022882	0.18388	0.0013044	1.9969	0.022901	0.18347	0.0013366	2617.2	25.108	2684.5	12.046	2.5086	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	14	10.1	162.28	196.58	1.2113	0.27504	2.0791	0.032006	0.18594	0.001184	2.0848	0.032128	0.18349	0.0013466	2525.8	32.51	2684.6	12.135	5.9163	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	11	7.1	221.48	66.76	0.30142	-0.013908	1.9553	0.034351	0.18348	0.0010101	1.955	0.034347	0.1836	0.0010176	2663	38.623	2685.7	9.1631	0.84268	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	12	8.1	242.42	87.888	0.36254	0.012119	1.9658	0.019085	0.18386	0.00094381	1.966	0.019089	0.18375	0.00095009	2650.8	21.631	2687.1	8.5472	1.3489	TRUE	0.005154067	0.5	0.313246566	204
231273.1	I	2	1.2	213.39	74.057	0.34705	-0.028249	1.9748	0.06371	0.18388	0.0026784	1.9742	0.063693	0.18413	0.0026836	2641.8	70.088	2690.5	24.085	1.8081	TRUE	0.005154067	0.5	0.313246566	204
231273.1	D	13	9.1	130.11	144.24	1.1086	0.15061	2.579	0.031139	0.18207	0.0016637	2.5829	0.031247	0.18073	0.001797	2109.7	22.038	2659.6	16.479	20.677	TRUE	0.005154067	0.5	0.313246566	204
