Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
231142.1	I	20	20.1	69.958	40.124	0.57354	0.014326	1.9952	0.024068	0.1843	0.001015	1.9954	0.024073	0.18418	0.0010231	2618.7	26.291	2690.8	9.1802	2.6809	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	19	19.1	205.77	113.4	0.55111	0.0046582	1.9579	0.019114	0.18431	0.0005833	1.958	0.019115	0.18427	0.00058481	2659.7	21.693	2691.7	5.2441	1.1876	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	23	23.1	241.52	197.22	0.81656	4.00E-03	1.9598	0.018768	0.18442	0.0010535	1.9599	0.018769	0.18438	0.0010542	2657.7	21.283	2692.7	9.4462	1.301	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	13	13.1	102.06	87.414	0.85651	0.055438	1.9818	0.021721	0.18497	0.00081885	1.9829	0.021738	0.18448	0.00084385	2632.3	24.057	2693.6	7.557	2.2743	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	14	14.1	138.19	94.782	0.68588	0.020907	1.9961	0.020704	0.18471	0.0007149	1.9965	0.02071	0.18453	0.00072312	2617.5	22.696	2694	6.4739	2.8377	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	3	3.1	119.67	89.38	0.74691	6.72E-02	1.9729	0.021226	0.18538	0.00078192	1.9742	0.021245	0.18478	0.00081068	2641.8	23.699	2696.2	7.2464	2.0197	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	2	2.1	121.36	64.664	0.53284	2.53E-02	2.0075	0.021568	0.18522	0.00078613	2.008	0.021575	0.18499	0.00079705	2605.2	23.391	2698.1	7.1151	3.4441	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	10	10.1	161.21	107.71	0.66817	2.84E-11	1.9481	0.019724	0.18518	0.00064434	1.9481	0.019724	0.18518	0.00064434	2670.8	22.545	2699.8	5.7453	1.075	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	17	17.1	173.52	133.72	0.77064	-5.44E-03	1.9694	0.019666	0.18513	0.00062887	1.9693	0.019665	0.18518	0.0006307	2647.2	22.084	2699.8	5.6237	1.9472	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	12	12.1	538.5	963.72	1.7896	-0.0072853	1.9907	0.01786	0.18512	0.00037055	1.9905	0.017859	0.18519	0.00037195	2624	19.782	2699.9	3.3163	2.8094	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	15	15.1	146.03	100.49	0.68814	4.37E-02	2.0446	0.021041	0.1856	0.00073262	2.0455	0.021053	0.18521	0.00075002	2565.9	22.156	2700.1	6.6861	4.9715	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	16	16.1	91.187	67.936	0.74502	0.066874	1.9972	0.022553	0.18593	0.00090354	1.9985	0.022575	0.18533	0.00093641	2615.4	24.634	2701.2	8.3415	3.1763	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	9	9.1	145.22	156.73	1.0792	2.07E-02	1.9694	0.020488	0.18559	0.00071051	1.9698	0.020493	0.1854	0.00071863	2646.7	22.972	2701.8	6.3986	2.0407	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	18	18.1	178.78	120.5	0.67403	-1.69E-02	2.0032	0.020087	0.18527	0.0006534	2.0029	0.020085	0.18542	0.00065905	2610.7	21.919	2701.9	5.8676	3.3773	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	5	5.1	198.97	139.63	0.70179	0.010238	1.9921	0.019728	0.18589	0.00061651	1.9923	0.019731	0.1858	0.00061995	2622.1	21.735	2705.4	5.5063	3.0783	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	22	22.1	112.34	72.502	0.64538	0.036198	2.0132	0.021842	0.18627	0.00082024	2.0139	0.021853	0.18595	0.00083628	2598.9	23.569	2706.7	7.4209	3.9797	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	1	1.1	142.86	100.96	0.70671	-0.030008	1.9692	0.020717	0.18575	0.00074064	1.9686	0.020713	0.18602	0.00075241	2648	23.233	2707.3	6.6737	2.1916	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	8	8.1	151.34	105.3	0.69578	0.086733	1.9927	0.020659	0.18687	0.00073423	1.9944	0.020683	0.18609	0.00076811	2619.8	22.708	2707.9	6.8099	3.2537	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	6	6.1	152.9	107.76	0.70478	0.041035	1.9762	0.020467	0.18657	0.0011692	1.977	0.020478	0.1862	0.0011792	2638.8	22.818	2708.9	10.448	2.5895	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	21	21.1	84.954	70.679	0.83196	-0.067144	1.978	0.02257	0.18581	0.00091266	1.9767	0.022561	0.18641	0.00094422	2639.1	25.07	2710.8	8.3547	2.6442	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	I	7	7.1	136.07	133.7	0.98256	0.049528	1.9633	0.020489	0.18739	0.00073117	1.9643	0.020502	0.18694	0.00075036	2652.8	23.088	2715.5	6.6177	2.3089	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	D	4	4.1	173.52	82.915	0.47785	0.17344	2.1099	0.021289	0.17921	0.00065375	2.1135	0.021337	0.17767	0.00071742	2497.3	21.259	2631.2	6.7107	5.0877	TRUE	0.005403594	0.770786485	0.27785476	204
231142.1	D	11	11.1	342.72	135.21	0.39452	0.031016	2.0742	0.01925	0.18347	0.00047902	2.0748	0.019257	0.18319	0.0004871	2535.8	19.858	2682	4.3975	5.4504	TRUE	0.005403594	0.770786485	0.27785476	204
