Geochronid	Grp no	Spot no	Grain spot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	Calibration Uncertainty included	calibration const	1 sigma external error	1 sigma internal error	ComPb_cor_meth
GSWA_133384.1	I	1	A.1-1	107.8765997	236.0642698	2.261078542	0.035347338	2.596649394	0.062342641	0.128111855	0.001751503	2.597567565	0.062409603	0.127800218	0.001927908	2099.484194	43.05204813	2067.933311	26.5892076	-1.525720503	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	2	B.1-1	482.4310157	127.7410742	0.27359489	0.060951262	2.593262108	0.047356183	0.127805852	0.000771739	2.594843698	0.04738747	0.127268156	0.000791439	2101.364898	32.74843235	2060.576859	10.97012849	-1.979447614	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	3	B.1-2	267.9301837	210.4800778	0.811712049	-0.102271183	2.616983272	0.051179503	0.128740566	0.001480822	2.614309587	0.051127531	0.129640348	0.001484071	2087.998771	34.88113958	2093.095004	20.11998898	0.243478339	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	4	C.1-1	108.6224493	172.4423665	1.640351884	0.219654887	2.724463048	0.073036746	0.129332463	0.001667804	2.730460639	0.073241328	0.127395007	0.001873934	2011.677	46.35280657	2062.334081	25.94353548	2.456298497	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	5	C.1-2	65.48105144	89.71537385	1.415675989	-0.408336492	2.517582535	0.066764369	0.128101719	0.002111791	2.507344133	0.066496678	0.131685912	0.002156655	2163.642322	48.74452349	2120.568315	28.69554546	-2.031248223	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	6	C.1-3	103.5756882	155.4669588	1.550932563	0.234665356	2.69217394	0.063612833	0.134278714	0.001815043	2.6985064	0.063791675	0.132220181	0.001938815	2032.107189	41.20333636	2127.659884	25.67245396	4.490976001	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	7	D.1-1	375.8225902	858.957961	2.361574588	0.39109153	2.67145878	0.048256904	0.130499963	0.000767751	2.68194765	0.048507117	0.127049004	0.001177175	2042.859625	31.66618621	2057.53604	16.350623	0.713300534	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	8	D.1-2	194.9054855	328.6786299	1.742448877	0.075410533	2.620943366	0.053853883	0.130059579	0.00126749	2.622921325	0.053895656	0.129395932	0.001276078	2082.140146	36.56181982	2089.777641	17.33934522	0.365469304	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	9	D.1-3	145.3197872	201.0826819	1.429758065	-0.234573453	2.599006212	0.053721907	0.127649385	0.001259511	2.592923901	0.053662085	0.129712993	0.001564407	2102.692473	37.13196748	2094.079548	21.19490828	-0.411298849	TRUE	0.005338381	1.649715611	0.654619213	204
GSWA_133384.1	I	10	D.1-4	177.5558759	290.7337162	1.691893374	0.141713991	2.739632356	0.056090922	0.128511827	0.001310897	2.743520308	0.056188635	0.127261656	0.001397811	2003.445917	35.2677954	2060.486749	19.37624145	2.768318332	TRUE	0.005338381	1.649715611	0.654619213	204
