Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
231258.1	I	1	1.1	61.749	90.145	1.4598	0.14836	1.8698	0.02406	0.18122	0.0014604	1.8726	0.024128	0.1799	0.0015781	2758.4	29.348	2651.9	14.55	-4.0132	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	6	6.1	188.33	333.94	1.7731	0.066836	1.9415	0.028845	0.18228	0.0011115	1.9428	0.028872	0.18169	0.0011516	2676.8	32.909	2668.3	10.496	-0.31602	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	3	3.1	167.16	118.87	0.71109	-3.60E-02	1.886	0.033312	0.18157	0.0011408	1.8854	0.033304	0.18189	0.0011627	2743.1	39.779	2670.1	10.584	-2.734	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	4	4.1	819.78	111.95	0.13656	0.060509	2.0219	0.021492	0.18258	0.00053824	2.0231	0.021507	0.18204	0.00055524	2589.2	23.131	2671.5	5.0494	3.0817	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	2	2.1	701.43	20.791	0.029641	0.074225	1.9952	0.016143	0.18276	0.00054265	1.9967	0.016158	0.1821	0.00056394	2617.4	18.025	2672.1	5.1267	2.0454	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	13	10.1	688.84	486.21	0.70584	1.40E-02	1.9721	0.015457	0.1823	0.0005933	1.9724	0.01546	0.18218	0.00059778	2643.8	17.648	2672.8	5.4316	1.0837	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	8	7.1	362.63	688.38	1.8983	3.27E-02	1.8848	0.016649	0.18271	0.00076848	1.8854	0.016658	0.18241	0.00078242	2743.1	20.359	2674.9	7.0986	-2.5481	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	10	8.1	287.62	182.32	0.63387	1.08E-02	1.9264	0.018066	0.18255	0.00088798	1.9266	0.018069	0.18245	0.00089331	2695.1	21.223	2675.3	8.1028	-0.74242	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	16	12.2	520.07	90.119	0.17328	1.37E-29	1.9782	0.016237	0.18261	0.00066569	1.9782	0.016237	0.18261	0.00066569	2637.4	18.382	2676.7	6.0321	1.468	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	9	7.2	284.12	221.43	0.77935	0.23908	1.929	0.017867	0.18478	0.00085595	1.9336	0.017934	0.18264	0.00096263	2687.2	20.949	2677	8.7209	-0.37808	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	5	5.1	144.23	183.67	1.2734	1.51E-01	1.9743	0.022745	0.18432	0.0012562	1.9773	0.022807	0.18297	0.0013579	2638.4	25.417	2680	12.277	1.5532	TRUE	0.005154067	0.5	0.313246566	204
231258.1	I	7	6.2	535.75	161.39	0.30125	0.081045	1.9012	0.035306	0.18379	0.00074533	1.9027	0.035337	0.18307	0.00077719	2722.8	41.54	2680.9	7.0219	-1.5617	TRUE	0.005154067	0.5	0.313246566	204
231258.1	D	11	9.1	59.962	78.949	1.3167	1.37E-29	1.8285	0.03	0.18257	0.0019856	1.8285	0.03	0.18257	0.0019856	2812.3	37.749	2676.4	17.997	-5.0795	TRUE	0.005154067	0.5	0.313246566	204
231258.1	D	12	9.2	393.39	102.19	0.25978	0.11604	2.1236	0.024716	0.18401	0.00078621	2.1261	0.024754	0.18297	0.00083445	2485.1	24.399	2680	7.5439	7.2725	TRUE	0.005154067	0.5	0.313246566	204
231258.1	D	14	11.1	394.3	135.81	0.34444	-0.023946	2.0715	0.030463	0.18418	0.00077356	2.071	0.030457	0.1844	0.00078314	2539.7	31.194	2692.8	7.0169	5.6862	TRUE	0.005154067	0.5	0.313246566	204
231258.1	D	15	12.1	115.11	183.53	1.5943	0.59235	2.1429	0.056452	0.19088	0.0014326	2.1557	0.056854	0.18559	0.0018335	2456.7	54.047	2703.5	16.306	9.1284	TRUE	0.005154067	0.5	0.313246566	204
