Geochronid	Grp no	Spot no	Grain spot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	Calibration Uncertainty included	calibration const	1 sigma external error	1 sigma internal error	ComPb_cor_meth
GSWA_214139.1	I	1	139-1.1	400.8695814235	92.4590952374	0.2382576524	-0.0302012384	1.8944180252	0.0998149585	0.1915321506	0.0006381640	1.8938460603	0.0997850844	0.1918014747	0.0006469980	2733.1295419435	122.7243347352	2757.6706109460	5.5398716909	0.8899202430	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	2	139-2.1	289.2321263939	55.1146196212	0.1968432856	-0.0000000003	1.8856285537	0.0325412214	0.1920099053	0.0007107922	1.8856285537	0.0325412214	0.1920099054	0.0007107922	2742.8301707266	39.1108834735	2759.4541672831	6.0785023833	0.6024378572	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	3	139-3.1	328.9016137127	67.9617378306	0.2134512944	0.0164796731	1.9032490595	0.0326147845	0.1926399892	0.0006535562	1.9035627604	0.0326206632	0.1924930363	0.0006591489	2721.7486135143	38.5939068424	2763.5798022398	5.6205873096	1.5136595184	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	4	139-4.1	406.3629120458	28.7749564166	0.0731477433	0.0048959174	1.8715209266	0.0316590261	0.1914588921	0.0006281873	1.8716125592	0.0316607088	0.1914152343	0.0006297334	2759.5381073288	38.5131089494	2754.3596180567	5.4045699498	-0.1880106446	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	P	5	139-5.1	812.1872750790	238.9203466817	0.3038766128	0.0476760844	1.8999655750	0.0308551045	0.1910230664	0.0004242570	1.9008718363	0.0308704629	0.1905979009	0.0004345967	2724.8907840994	36.5812094792	2747.3277125973	3.7482662879	0.8166819122	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	6	139-6.1	364.9638208904	66.0228246136	0.1868721608	0.0215996278	1.8919530874	0.0321672342	0.1924201493	0.0006459450	1.8923618305	0.0321748331	0.1922275534	0.0006532248	2734.8764935912	38.4352710624	2761.3142212008	5.5789244429	0.9574327835	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	7	139-7.1	511.4635523041	84.0854159103	0.1698268317	0.1059898865	1.9674739855	0.0327055959	0.1931325724	0.0005604100	1.9695615215	0.0327427984	0.1921874571	0.0005901666	2646.9193617575	36.5948035200	2760.9717345070	5.0415795548	4.1308779559	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	8	139-8.1	742.6509394837	193.8412938656	0.2696260732	0.1152294045	1.9116346211	0.0319603278	0.1941523067	0.0004588355	1.9138399275	0.0322060915	0.1931248870	0.0017669191	2709.8154195672	37.7557413876	2768.9574676163	15.0098928812	2.1358958648	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	9	139-9.1	492.6794577318	93.0587631580	0.1951161162	0.0355728160	1.8949249786	0.0322985655	0.1932172515	0.0005733119	1.8955992966	0.0323108415	0.1929000705	0.0005831869	2731.0688829539	38.4902498904	2767.0463827095	4.9607863977	1.3002131074	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	10	139-10.1	204.9747741119	111.6684804281	0.5627694470	0.1839622069	1.9982128812	0.0367021177	0.1939364960	0.0009358456	2.0018956126	0.0367806486	0.1922961002	0.0010187895	2611.7609799503	40.0685505821	2761.8995311948	8.6974929787	5.4360612886	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	I	11	139-11.1	908.0448668685	255.3466012944	0.2904845881	0.0968781252	1.8978924629	0.0314907048	0.1907827934	0.0020309168	1.8997328886	0.0315227347	0.1899188255	0.0020379804	2726.2229430278	37.4022618325	2741.4588444952	17.6493710044	0.5557588981	TRUE	0.0045740393707275	1.1000762225993100		204
GSWA_214139.1	P	12	139-12.1	335.6904073656	77.9133825856	0.2397581892	0.0116187603	1.9752557588	0.0344365980	0.1899392466	0.0006792165	1.9754852857	0.0344409821	0.1898356197	0.0006832370	2640.4065398305	38.3273490712	2740.7380820111	5.9199745349	3.6607490091	TRUE	0.0045740393707275	1.1000762225993100		204
