Geochronid	Grpno	Spotno	Grainspot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	CalibrationUncertaintyincluded	calibrationconst	1sigmaexternalerror	1sigmainternalerror	ComPb_cor_meth
242634.1	I	2	2.1	67.002	58.74	0.8767	-3.399E-10	1.9364	0.061428	0.17515	0.0015434	1.9364	0.061428	0.17515	0.0015434	2684	69.751	2607.5	14.678	-2.9331	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	15	15.1	103.39	58.791	0.56862	0.021821	1.9549	0.034134	0.17549	0.0012065	1.9554	0.034144	0.17529	0.0012224	2662.7	38.286	2608.8	11.614	-2.063	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	5	5.1	126.81	55.804	0.44007	0.032428	1.9962	0.021216	0.17615	0.0010626	1.9968	0.021228	0.17587	0.0010824	2617.2	23.179	2614.3	10.245	-0.11214	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	14	14.1	66.16	52.574	0.79465	0.40059	2.0496	0.028793	0.17972	0.0016116	2.0578	0.029016	0.17615	0.0019465	2553.1	29.95	2616.9	18.39	2.4383	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	11	11.1	71.528	71.158	0.99482	0.033503	1.9931	0.027108	0.17676	0.0015141	1.9938	0.027126	0.17646	0.0015438	2620.5	29.541	2619.9	14.556	-0.02435	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	1	1.1	174.86	102.05	0.58362	0.012774	1.9659	0.01906	0.17687	0.00093704	1.9661	0.019064	0.17676	0.00094406	2650.7	21.424	2622.7	8.8833	-1.0691	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	10	10.1	267.31	135.7	0.50763	-4.5833E-11	2.0387	0.029029	0.17682	0.0007969	2.0387	0.029029	0.17682	0.0007969	2572.9	30.434	2623.2	7.4957	1.9187	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	7	7.1	364.25	151.67	0.4164	-0.01393	1.985	0.030786	0.17678	0.00070065	1.9847	0.030782	0.17691	0.00070604	2630.4	33.715	2624.1	6.6371	-0.23876	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	13	13.1	139.79	125.35	0.89673	-0.016521	2.0245	0.031035	0.17683	0.0010847	2.0242	0.031032	0.17697	0.0010945	2588	32.891	2624.7	10.284	1.397	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	4	4.1	201.37	94.245	0.46803	2.228E-10	2.0136	0.01893	0.17706	0.00087389	2.0136	0.01893	0.17706	0.00087389	2599.2	20.457	2625.6	8.2065	1.0037	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	12	12.1	110.21	60.536	0.54927	0.043387	1.9924	0.038662	0.17834	0.0012157	1.9932	0.038683	0.17795	0.0012466	2621.1	41.968	2633.8	11.639	0.485	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	16	16.1	57.806	41.74	0.72207	0.08491	1.9633	0.029856	0.17877	0.001721	1.965	0.029904	0.17801	0.0018039	2651.9	33.312	2634.4	16.836	-0.66554	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	18	18.1	148.98	135.94	0.91242	0.17886	2.0228	0.021413	0.17962	0.0010653	2.0264	0.021479	0.17803	0.001171	2585.7	22.883	2634.6	10.928	1.8559	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	8	8.1	49.891	38.482	0.77132	0.093481	2.0504	0.031794	0.17897	0.0018184	2.0523	0.031853	0.17814	0.0019134	2558.8	32.984	2635.6	17.843	2.914	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	3	3.1	99.795	52.394	0.52501	0.065323	2.0307	0.023555	0.1788	0.0012288	2.032	0.023582	0.17821	0.0012748	2579.9	24.953	2636.3	11.882	2.1409	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	6	6.1	104.63	37.122	0.35481	-0.021488	2.0297	0.023294	0.17833	0.0012255	2.0293	0.023293	0.17852	0.0012402	2582.7	24.708	2639.2	11.536	2.1403	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	17	17.1	95.533	48.625	0.50899	-0.10196	1.9944	0.0246	0.1786	0.0013332	1.9924	0.024596	0.17951	0.0014072	2622	26.864	2648.3	13.006	0.995	TRUE	0.005540626	0.5	0.254320201	204
242634.1	I	9	9.1	64.327	43.731	0.67983	-0.17078	2.0088	0.028216	0.18025	0.001546	2.0054	0.028209	0.18177	0.0016866	2608	30.407	2669.1	15.365	2.2896	TRUE	0.005540626	0.5	0.254320201	204
