dataset,missing_sample_id,priority,latitude,longitude,analysis_type_hint,site_or_geochronid_hint,originator_hint,reference_hint,nearest_ims_sample_id,nearest_ims_sources,nearest_ims_distance_m,alias_candidate_count,alias_candidate_examples,recommended_next_step
GSWA Geochronology,240118,LOW,-29.14646700,120.38222000,U-PB ZIRCON,240118.1,ZIBRA I.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND ZIBRA, I 2021, 240118: METAMONZOGRANITE, MOUNT MASON; GEOCHRONOLOGY RECORD 1832: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",96969016,GA IMS spots,10270.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,210217,LOW,-28.67595700,116.77510000,U-PB ZIRCON,210217.1,ZIBRA I.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND ZIBRA, I 2021, 210217: METAMONZOGRANITE, SOUTH WELL; GEOCHRONOLOGY RECORD 1802: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",155822,GSWA IMS spots,10587.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,231142,LOW,-28.17113400,119.50754600,SHRIMP U-PB ZIRCON,231142.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 231142.1: HORNBLENDE-BIOTITE METAGRANODIORITE, MOUNT DWYER; GEOCHRONOLOGY RECORD 1914: GEOLOGICAL SURVEY OF W...",169070,GSWA IMS spots,12343.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,112159,LOW,-28.42602700,121.14381900,U-PB ZIRCON,112159.1,NELSON D.R.,"NELSON, DR 1995, 112159: PORPHYRITIC DACITE, ROYAL ARTHUR; GEOCHRONOLOGY RECORD 488: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",211056,GSWA IMS spots,13059.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,235199,LOW,-27.53133800,122.28897300,U-PB ZIRCON,235199.1,BURLEY L.L.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND GRECH, LL 2021, 235199: METADACITE, DUKETON; GEOCHRONOLOGY RECORD 1834: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",153317,GSWA IMS spots,13613.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242908,LOW,-21.88962000,116.07421600,U-PB ZIRCON,242908.1,MARTIN D.M.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND MARTIN, DMCB 2021, 242908: TUFFACEOUS VOLCANIC ROCK, RED HILL MINE; GEOCHRONOLOGY RECORD 1819: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",225735,GSWA IMS spots,13769.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,232522,LOW,-21.36565300,116.80806100,U-PB ZIRCON,232522.1,HOWARD H.M.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND HOWARD, HM 2021, 232522: METAMONZOGRANITE, BALMORAL PROSPECT; GEOCHRONOLOGY RECORD 1817: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",144993,GSWA IMS spots,14082.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242683,LOW,-28.64607700,116.39351000,SHRIMP U-PB ZIRCON,242683.1,IVANIC T.J.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2024, 242683.1: METARHYOLITE, GOLDEN STREAM MINE; GEOCHRONOLOGY RECORD 1986: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",207670,GSWA IMS spots,14376.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,236191,LOW,-30.71952700,122.57136000,U-PB ZIRCON,236191.1,SMITHIES R.H.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND SMITHIES, RH 2022, 236191: METAGABBRO, BOMBORA PROSPECT; GEOCHRONOLOGY RECORD 1858: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",112147,GSWA IMS spots,14440.0,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,203738,LOW,-28.94927900,122.35114400,U-PB ZIRCON,203738.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y, CASSIDY, KF AND SMITHIES, RH 2022, 203738: PORPHYRITIC METASYENITE, LAKE CAREY; GEOCHRONOLOGY RECORD 1881: GEOLOGICAL SURVEY OF WESTERN AUSTR...",203722,GSWA IMS spots,14479.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,245122,LOW,-30.46829700,120.93580100,U-PB ZIRCON,245122.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2021, 245122: VOLCANICLASTIC SANDSTONE, CARBINE MINE; GEOCHRONOLOGY RECORD 1837: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",104951,GSWA IMS spots,14716.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,236002,LOW,-31.02779700,121.92673800,U-PB ZIRCON,236002.1,SMITHIES R.H.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND SMITHIES, RH 2022, 236002: METADACITE, DAISY MILANO MINE; GEOCHRONOLOGY RECORD 1857: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",104940A,GSWA IMS spots,14963.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,203739,LOW,-28.95608300,122.34525300,U-PB ZIRCON,203739.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y, CASSIDY, KF AND SMITHIES, RH 2022, 203739: FELSIC METAVOLCANIC ROCK, LAKE CAREY; GEOCHRONOLOGY RECORD 1882: GEOLOGICAL SURVEY OF WESTERN AUST...",203722,GSWA IMS spots,15040.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,245127,LOW,-30.99090600,121.44032000,U-PB ZIRCON,245127.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2021, 245127: PORPHYRITIC METADACITE, ELLEN DAM; GEOCHRONOLOGY RECORD 1838: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",182288,GSWA IMS spots,15232.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,240481,LOW,-30.18159700,121.22383000,U-PB ZIRCON,240481.1,DE PAOLI M.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND DE PAOLI, M 2022, 240481: PORPHYRITIC METADACITE, APHRODITE PROSPECT; GEOCHRONOLOGY RECORD 1859: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",93901,GSWA IMS spots,15742.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,222651,LOW,-29.67561700,121.07404000,U-PB ZIRCON,222651.1,SAPKOTA J.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND SAPKOTA, J 2022, 222651: METADACITE, MOUNT MENZIES; GEOCHRONOLOGY RECORD 1853: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",112114,GSWA IMS spots,16156.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,225797,LOW,-21.71402700,116.05490000,U-PB ZIRCON,225797.1,MARTIN D.M.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND MARTIN, DMCB 2021, 225797: PORPHYRITIC MICROGRANITE, THREE PEAK HILL; GEOCHRONOLOGY RECORD 1814: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",225735,GSWA IMS spots,16540.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,177915,LOW,-31.04735600,122.21520000,U-PB ZIRCON,177915.1,NELSON D.R.,"WINGATE, MTD AND BODORKOS, S 2007, 177915: METASANDSTONE, RANDALLS MINE; GEOCHRONOLOGY RECORD 664: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",104940A,GSWA IMS spots,16754.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,229285,LOW,-30.76732700,116.63516100,SHRIMP U-PB ZIRCON,229285.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 229285.1: ACTINOLITE-BIOTITE SCHIST, MOUNT RUPERT; GEOCHRONOLOGY RECORD 1911: GEOLOGICAL SURVEY OF WESTERN AU...",205933,GSWA IMS spots,16790.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,112170,LOW,-33.93342600,120.03332900,U-PB ZIRCON,112170.1,NELSON D.R.,"NELSON, DR 1996, 112170: METASANDSTONE, BARRENS BEACH; GEOCHRONOLOGY RECORD 492: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 3P.",112168,GSWA IMS spots,16958.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242695,LOW,-28.64952700,116.35058000,U-PB ZIRCON,242695.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, TJ 2022, 242695: HORNBLENDE METAMONZONITE, OLIVERS WELL; GEOCHRONOLOGY RECORD 872: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",207670,GSWA IMS spots,17271.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178057,LOW,-27.89891700,119.54957000,U-PB ZIRCON,178057.1,NELSON D.R.,"NELSON, DR 2005, 178057: BIOTITE MONZOGRANITE, KURRAJONG WELL; GEOCHRONOLOGY RECORD 584: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",178056,GSWA IMS spots,17593.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,211120,LOW,-28.67189700,116.37537000,U-PB ZIRCON,211120.1,IVANIC T.J.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2021, 211120: ALTERED BRECCIA, DEFLECTOR PROSPECT; GEOCHRONOLOGY RECORD 1823: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 7P.",207670,GSWA IMS spots,17749.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,211118,LOW,-28.67316700,116.37715000,SHRIMP U-PB ZIRCON,211118.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 211118.1: LAMPROPHYRE DYKE, DEFLECTOR PROSPECT; GEOCHRONOLOGY RECORD 1930: GEOLOGICAL SURVEY OF WESTERN AUSTR...",207670,GSWA IMS spots,17777.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,229828,LOW,-31.99046200,121.89436200,U-PB ZIRCON,229828.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2022, 229828: FELDSPATHIC SANDSTONE, KILLALOE PROSPECT; GEOCHRONOLOGY RECORD 1885: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",179669,GSWA IMS spots,18597.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,249438,LOW,-28.45429300,120.89008400,U-PB ZIRCON,249438.1,LOWREY J.R.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND LOWREY, JR 2021, 249438: PORPHYRITIC MICROGRANITE, BANNOCKBURN MINE; GEOCHRONOLOGY RECORD 1839: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 6P.",211056,GSWA IMS spots,18619.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,239798,LOW,-21.64177700,116.21074000,U-PB ZIRCON,239798.1,MARTIN D.M.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND MARTIN, DMCB 2021, 239798: PORPHYRITIC DYKE, PANNAWONICA ROAD; GEOCHRONOLOGY RECORD 1818: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",225735,GSWA IMS spots,19083.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242407,LOW,-29.55401600,117.14659000,U-PB ZIRCON,242407.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, T 2021, 242407: METADACITE, BUNGEYE WELL; GEOCHRONOLOGY RECORD 1806: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",198228,GSWA IMS spots,19455.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,229320,LOW,-27.76801600,117.13957000,SHRIMP U-PB ZIRCON,229320.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 229320.1: METAMONZOGRANITE, ROSARY BORE; GEOCHRONOLOGY RECORD 1912: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, W...",99967141,GA IMS spots,19561.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242652,LOW,-29.23660700,116.30364100,U-PB ZIRCON,242652.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, T 2021, 242652: FELSIC METAVOLCANIC ROCK, BOWGARDER HILLS; GEOCHRONOLOGY RECORD 1807: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",219311,GSWA IMS spots,19686.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,238531,LOW,-27.71991600,117.13932000,U-PB ZIRCON,238531.1,ZIBRA I.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND ZIBRA, I 2021, 238531: METAMONZOGRANITE, SCOTTIES BORE; GEOCHRONOLOGY RECORD 1804: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",99967141,GA IMS spots,20234.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242634,LOW,-29.16950700,116.21600000,SHRIMP U-PB ZIRCON,242634.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242634.1: HORNBLENDE–BIOTITE METAGRANODIORITE, KOOLANOOKA HILLS; GEOCHRONOLOGY RECORD 1938: GEOLOGICAL SURVEY...",219311,GSWA IMS spots,21850.0,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242931,LOW,-22.47986800,116.51588800,U-PB ZIRCON,242931.1,MARTIN D.M.,"WINGATE, MTD, FIELDING, IOH, LU, Y, MARTIN, DMCB AND ALLEN, HJ 2022, 242931: VOLCANICLASTIC SILTSTONE, MOUNT BERRY; GEOCHRONOLOGY RECORD 1898: GEOLOGICAL SURVEY OF WESTERN AUSTR...",195891,GSWA IMS spots,23362.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,220109,LOW,-28.29906800,115.01669600,U-PB ZIRCON,220109.1,ALLEN H.J.,"WINGATE, MTD, LU, Y AND ALLEN, HJ 2021, 220109: SANDSTONE, WENDY 1; GEOCHRONOLOGY RECORD 1826: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 9P.",181161,GSWA IMS spots,26576.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,220110,LOW,-28.29906800,115.01669600,U-PB ZIRCON,220110.1,ALLEN H.J.,"WINGATE, MTD, LU, Y AND ALLEN, HJ 2021, 220110: SANDSTONE, WENDY 1; GEOCHRONOLOGY RECORD 1827: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 9P.",181161,GSWA IMS spots,26576.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178058,LOW,-27.78419600,119.87342000,U-PB ZIRCON,178058.1,NELSON D.R.,"NELSON, DR 2005, 178058: BIOTITE MONZOGRANITE, NO. 1 BORE; GEOCHRONOLOGY RECORD 585: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",95969787,GA IMS spots,28976.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178064,LOW,-28.84506600,119.99953000,U-PB ZIRCON,178064.1,NELSON D.R.,"NELSON, DR 2005, 178064: COARSE SANDSTONE, THE STOCK WELL; GEOCHRONOLOGY RECORD 591: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",97969082A,GA IMS spots,30028.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,248284,LOW,-32.16403700,118.45143000,SHRIMP U-PB ZIRCON,248284.2,IVANIC T.J.,"FIELDING, IOH, LU, Y, WINGATE, MTD AND IVANIC, TJ 2023, 248284: METAMONZOGRANITE, MERINO PROSPECT; GEOCHRONOLOGY RECORD 1908: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA GEOLOGY ...",250432,GSWA IMS spots,30361.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242672,LOW,-29.37336700,116.35166100,U-PB ZIRCON,242672.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, T 2021, 242672: FELSIC METAVOLCANIC ROCK, SOLOMON ROAD; GEOCHRONOLOGY RECORD 1800: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",219311,GSWA IMS spots,31850.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242439,LOW,-29.10511700,116.09247100,SHRIMP U-PB ZIRCON,242439.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 242439.1: GRANODIORITE GNEISS, MT MARVEL QUARRY; GEOCHRONOLOGY RECORD 1918: GEOLOGICAL SURVEY OF WESTERN AUST...",219311,GSWA IMS spots,32200.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,231258,LOW,-27.25874700,116.01437000,SHRIMP U-PB ZIRCON,231258.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 231258.1: METAGRANODIORITE, STOCKYARD WELL; GEOCHRONOLOGY RECORD 1915: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA...",105001,GSWA IMS spots,34081.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242435,LOW,-29.34960700,116.63709100,SHRIMP U-PB ZIRCON,242435.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 242435.1: METAMONZOGRANITE, DAMPERWAH HILLS; GEOCHRONOLOGY RECORD 1917: GEOLOGICAL SURVEY OF WESTERN AUSTRALI...",219311,GSWA IMS spots,35178.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178059,LOW,-27.60178600,119.92951000,U-PB ZIRCON,178059.1,NELSON D.R.,"NELSON, DR 2005, 178059: BIOTITE MONZOGRANITE, MICHEL BORE; GEOCHRONOLOGY RECORD 586: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",95969787,GA IMS spots,35581.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242491,LOW,-26.85506700,116.82152100,SHRIMP U-PB ZIRCON,242491.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242491.1: METAMONZOGRANITE, PIABUBBA WELL; GEOCHRONOLOGY RECORD 1933: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA,...",105018A,GSWA IMS spots,36552.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242490,LOW,-26.84046700,117.02712100,SHRIMP U-PB ZIRCON,242490.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242490.1: METAMONZOGRANITE, WOGARA BORE; GEOCHRONOLOGY RECORD 1932: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, W...",105018A,GSWA IMS spots,36822.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242405,LOW,-29.76106700,117.13968100,U-PB ZIRCON,242405.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, T 2021, 242405: METAMONZOGRANITE, MOUNT GIBSON MINE; GEOCHRONOLOGY RECORD 1805: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",198228,GSWA IMS spots,37909.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,168983,LOW,-25.03392600,121.60648900,U-PB ZIRCON,168983.1,NELSON D.R.,"NELSON, DR 2002, 168983: METASANDSTONE, WELD SPRING; GEOCHRONOLOGY RECORD 155: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",132415,GSWA IMS spots,39536.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,168973,LOW,-29.56668700,118.71486100,U-PB ZIRCON,168973.1,NELSON D.R.,"NELSON, DR 2001, 168973: BIOTITE MONZOGRANITE, KIM BORE; GEOCHRONOLOGY RECORD 177: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",185990,GSWA IMS spots,39711.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242492,LOW,-27.09192600,116.41048000,SHRIMP U-PB ZIRCON,242492.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242492.1: MIGMATITIC GNEISS, RESERVE WELL; GEOCHRONOLOGY RECORD 1934: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA,...",105004,GSWA IMS spots,43589.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242493,LOW,-27.09192600,116.41048000,SHRIMP U-PB ZIRCON,242493.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MDT, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242493.1: METAGRANODIORITE DYKE, RESERVE WELL; GEOCHRONOLOGY RECORD 1935: GEOLOGICAL SURVEY OF WESTERN AUSTRA...",105004,GSWA IMS spots,43589.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,118990,LOW,-26.31286700,118.96829000,U-PB ZIRCON,118990.1,NELSON D.R.,"NELSON, DR 1997, 118990: SILICIFIED LAMINATED SHALE, REFERENDUM BORE; GEOCHRONOLOGY RECORD 435: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",195871,GSWA IMS spots,44041.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,194754,LOW,-29.17301700,117.66264000,U-PB ZIRCON,194754.1,KIRKLAND C.L.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, T 2021, 194754: METAMONZOGRANITE, DEEP WELL; GEOCHRONOLOGY RECORD 1821: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",193979,GSWA IMS spots,45470.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,201514,LOW,-29.16907200,117.65323300,U-PB ZIRCON,201514.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2021, 201514: METAGRANODIORITE, DEEP WELL; GEOCHRONOLOGY RECORD 1801: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",198228,GSWA IMS spots,45860.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242498,LOW,-27.23697600,116.32647000,SHRIMP U-PB ZIRCON,242498.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242498.1: QUARTZITE, MUNGO POOL; GEOCHRONOLOGY RECORD 1937: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA GEOLOG...",105004,GSWA IMS spots,47558.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242497,LOW,-27.23666600,116.32695000,SHRIMP U-PB ZIRCON,242497.1,IVANIC T.J.,"ROMANO, SS, WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242497.1: HORNBLENDE–BIOTITE METAGRANODIORITE, MUNGO POOL; GEOCHRONOLOGY RECORD 1936: GEOLOGICAL SURVEY OF WE...",105004,GSWA IMS spots,47561.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,171773,LOW,-25.22820600,121.13618900,U-PB ZIRCON,171773.1,PIRAJNO F.,"NELSON, DR 2005, 171773: QUARTZ SANDSTONE, INGEBONG HILLS; GEOCHRONOLOGY RECORD 543: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",149691,GSWA IMS spots,50221.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,231273,LOW,-27.61697700,115.73348100,SHRIMP U-PB ZIRCON,231273.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND IVANIC, TJ 2023, 231273.1: METAGRANODIORITE, MARRIWALLEN SPRING; GEOCHRONOLOGY RECORD 1916: GEOLOGICAL SURVEY OF WESTERN AUSTR...",181111,GSWA IMS spots,53653.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,228446,LOW,-22.56081700,119.49278200,U-PB ZIRCON,228446.1,HOWARD H.M.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND HOWARD, HM 2021, 228446: METAGRANODIORITE, ILBIANNA WELL; GEOCHRONOLOGY RECORD 1731: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",178049,GSWA IMS spots,57143.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,226183,LOW,-20.56998600,123.25862000,U-PB ZIRCON,226183.1,DENT L.M.,"WINGATE, MTD, LU, Y AND DENT, LM 2021, 226183: SANDSTONE, NICOLAY 1; GEOCHRONOLOGY RECORD 1760: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 7P.",135967,GSWA IMS spots,58088.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,226184,LOW,-20.56998600,123.25862000,U-PB ZIRCON,226184.1,DENT L.M.,"WINGATE, MTD, LU, Y AND DENT, LM 2021, 226184: SANDSTONE, NICOLAY 1; GEOCHRONOLOGY RECORD 1761: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 8P.",135967,GSWA IMS spots,58088.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,226185,LOW,-20.56998600,123.25862000,U-PB ZIRCON,226185.1,DENT L.M.,"WINGATE, MTD, LU, Y AND DENT, LM 2021C, 226185: SANDSTONE, NICOLAY 1; GEOCHRONOLOGY RECORD 1762: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 8P.",135967,GSWA IMS spots,58088.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,226186,LOW,-20.56998600,123.25862000,U-PB ZIRCON,226186.1,DENT L.M.,"WINGATE, MTD, LU, Y AND DENT, LM 2021, 226186: SANDSTONE, NICOLAY 1; GEOCHRONOLOGY RECORD 1763: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",135967,GSWA IMS spots,58088.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,225756,LOW,-22.33116600,118.32157000,U-PB ZIRCON,225756.1,MARTIN D.M.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND MARTIN, DMCB 2021, 225756: VOLCANICLASTIC ROCK, WITTENOOM GORGE; GEOCHRONOLOGY RECORD 1810: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 6P.",228400,GSWA IMS spots,64695.2,0,,Likely absent from current IMS exports; search source report/lab archive.
