dataset,missing_sample_id,priority,latitude,longitude,analysis_type_hint,site_or_geochronid_hint,originator_hint,reference_hint,nearest_ims_sample_id,nearest_ims_sources,nearest_ims_distance_m,alias_candidate_count,alias_candidate_examples,recommended_next_step
GSWA Geochronology,214315,MEDIUM,-28.70073500,116.66758600,SHRIMP U-PB ZIRCON,214315.1,FENWICK M.J.,"FIELDING, IOH, LU, Y, WINGATE, MTD AND ZIBRA, I 2023, 214315: METAGRANODIORITE DYKE, WOOLEY SPRING; GEOCHRONOLOGY RECORD 1907: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA GEOLOGY...",209689,GSWA IMS spots,1544.2,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,112101,LOW,-22.61700700,122.29167000,U-PB ZIRCON,112101.1,NELSON D.R.,"NELSON, DR 1996, 112101: BIOTITE-EPIDOTE MONZOGRANITE GNEISS, LARRY CREEK; GEOCHRONOLOGY RECORD 522: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",111854,GSWA IMS spots,2056.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178054,LOW,-28.10510600,119.13571100,U-PB ZIRCON,178054.1,NELSON D.R.,"NELSON, DR 2005, 178054: FOLIATED BIOTITE GRANODIORITE, BELL CHAMBER WELL; GEOCHRONOLOGY RECORD 582: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",169069,GSWA IMS spots,2062.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,245115,LOW,-30.59558500,121.60946900,U-PB ZIRCON,245115.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2021, 245115: PORPHYRITIC MICROGRANITE, KANOWNA CONSULS MINE; GEOCHRONOLOGY RECORD 1836: GEOLOGICAL SURVEY OF WESTERN AUSTRAL...",104958,GSWA IMS spots,2184.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,142832,LOW,-21.11032600,116.89107000,U-PB ZIRCON,142832.1,NELSON D.R.,"NELSON, DR 2000, 142832: METAMORPHOSED INTERMEDIATE ROCK, WHUNDO; GEOCHRONOLOGY RECORD 391: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",142835,GSWA IMS spots,2236.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,222720,LOW,-29.04711800,120.51313600,U-PB ZIRCON,222720.1,DE PAOLI M.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND DE PAOLI, M 2022, 222720: METAGABBRO, OBERWYL HILL; GEOCHRONOLOGY RECORD 1856: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",96969082,GA IMS spots,2417.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,142984,LOW,-21.18506600,120.03055000,U-PB ZIRCON,142984.1,NELSON D.R.,"NELSON, DR 2000, 142984: PEGMATITE-BANDED, EVEN-GRAINED ORTHOGNEISS, TALGA WELL; GEOCHRONOLOGY RECORD 287: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",169044,GSWA IMS spots,2526.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,222712,LOW,-29.00775700,120.51069300,U-PB ZIRCON,222712.1,DE PAOLI M.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND DE PAOLI, M 2021, 222712: QUARTZITE, LAWLERS - MOUNT IDA ROAD; GEOCHRONOLOGY RECORD 1855: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",96969082,GA IMS spots,2581.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,133384,LOW,-25.55822600,117.73509000,U-PB ZIRCON,133384.1,OCCHIPINTI S.A.,"FIELDING, IOH, WINGATE, MTD, FLETCHER, IR, RASMUSSEN, B, ZI, J-W AND SHEPPARD, S 2022, 133384: LEUCOGABBRO, THOMPSONS BORE; GEOCHRONOLOGY RECORD 1860: GEOLOGICAL SURVEY OF WESTE...",142851,GSWA IMS spots,2630.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,203736,LOW,-31.33310500,121.78038700,U-PB ZIRCON,203736.1,SMITHIES R.H.,"WINGATE, MTD, LU, Y, FIELDING, IOH, CASSIDY, KF AND SMITHIES, RH 2022, 203736: PORPHYRITIC METAGRANITIC ROCK, VICTORY DEPOSIT; GEOCHRONOLOGY RECORD 1852: GEOLOGICAL SURVEY OF WE...",112110,GSWA IMS spots,3066.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,245105,LOW,-30.61764400,121.56532900,U-PB ZIRCON,245105.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2021, 245105: VOLCANICLASTIC SANDSTONE, KANOWNA BELLE MINE; GEOCHRONOLOGY RECORD 1835: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA...",104958,GSWA IMS spots,3179.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178026,LOW,-23.86005700,115.67001000,U-PB ZIRCON,178026.1,SHEPPARD S.,"NELSON, DR 2005, 178026: MUSCOVITE-BIOTITE SYENOGRANITE, RUSSELL WELL; GEOCHRONOLOGY RECORD 535: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",178027,GSWA IMS spots,3353.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,203740,LOW,-28.85809800,122.30533900,U-PB ZIRCON,203740.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y, CASSIDY, KF AND SMITHIES, RH 2022, 203740: PORPHYRITIC METASYENITE, WALLABY MINE; GEOCHRONOLOGY RECORD 1883: GEOLOGICAL SURVEY OF WESTERN AUS...",203722,GSWA IMS spots,3624.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,227268,LOW,-28.19408700,116.68832000,U-PB ZIRCON,227268.1,IVANIC T.J.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND IVANIC, TJ 2021, 227268: ALTERED VOLCANICLASTIC ROCK, WOOLGAH HILL; GEOCHRONOLOGY RECORD 1825: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",207686,GSWA IMS spots,4191.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178037,LOW,-21.23004600,119.88465000,U-PB ZIRCON,178037.1,NELSON D.R.,"NELSON, DR 2005, 178037: BIOTITE GRANODIORITE, NELSON WELL; GEOCHRONOLOGY RECORD 561: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",169045,GSWA IMS spots,4265.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,235129,LOW,-27.63198700,122.27641300,U-PB ZIRCON,235129.1,BURLEY L.L.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND GRECH, LL 2021, 235129: QUARTZ METADIORITE, DUKETON; GEOCHRONOLOGY RECORD 1833: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",153317,GSWA IMS spots,4355.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178066,LOW,-28.45376600,119.81092000,U-PB ZIRCON,178066.1,NELSON D.R.,"NELSON, DR 2005, 178066: RECRYSTALLIZED SANDSTONE, MINGA BORE; GEOCHRONOLOGY RECORD 593: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",169075,GSWA IMS spots,4596.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178065,LOW,-28.45395600,119.81041000,U-PB ZIRCON,178065.1,NELSON D.R.,"NELSON, DR 2005, 178065: RECRYSTALLIZED SANDSTONE, MINGA BORE; GEOCHRONOLOGY RECORD 592: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",169075,GSWA IMS spots,4598.3,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,227224,LOW,-28.57789700,116.45796000,U-PB ZIRCON,227224.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, TJ 2021, 227224: TONALITE, EDAMURTA RANGE; GEOCHRONOLOGY RECORD 1803: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",207670,GSWA IMS spots,4771.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,142933,LOW,-25.40629600,116.21742100,U-PB ZIRCON,142933.1,NELSON D.R.,"NELSON, DR 1999, 142933: BIO-HYPERSTHENE-CLINOPYROXENE-ANDESINE MAFIC GRANULITE, MEERAWANA BORE; GEOCHRONOLOGY RECORD 320: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",142932,GSWA IMS spots,5089.0,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,181127,LOW,-23.71392600,122.48463900,U-PB ZIRCON,181127.1,HOCKING R.M.,"WINGATE, MTD AND BODORKOS, S 2007, 181127: QUARTZ SANDSTONE, DURBA HILLS; GEOCHRONOLOGY RECORD 682: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 7P.",181126,GSWA IMS spots,5722.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,178052,LOW,-28.52065600,119.01653000,U-PB ZIRCON,178052.1,NELSON D.R.,"NELSON, DR 2005, 178052: BIOTITE MICROGRANODIORITE, YUINMERY HOMESTEAD; GEOCHRONOLOGY RECORD 581: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",169068,GSWA IMS spots,5751.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,242455,LOW,-26.95863700,117.41976100,SHRIMP U-PB ZIRCON,242455.1,IVANIC T.J.,"ROMANO, SS, LU, Y, FIELDING, IOH AND IVANIC, TJ 2023, 242455.1: METAGRANODIORITE, MARDOONGANNA HILLS; GEOCHRONOLOGY RECORD 1919: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA GEOLO...",155569,GSWA IMS spots,5859.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,112112,LOW,-29.73619700,122.09312000,U-PB ZIRCON,112112.1,NELSON D.R.,"NELSON, DR 1995, 112112: K-FELDSPAR VOLCANIC ROCK, JUMP UP DAM; GEOCHRONOLOGY RECORD 510: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 6P.",112175,GSWA IMS spots,6058.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,177916,LOW,-31.03107600,122.56081000,U-PB ZIRCON,177916.1,BODORKOS S.,"WINGATE, MTD AND BODORKOS, S 2007, 177916: METASILTSTONE, KARONIE MINE; GEOCHRONOLOGY RECORD 665: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",98967008,GA IMS spots,6198.2,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,209650,LOW,-27.91631600,117.86721000,U-PB ZIRCON,209650.1,ZIBRA I.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND ZIBRA, I 2021, 209650: METAGRANODIORITE VEIN, SUCCESS WELL; GEOCHRONOLOGY RECORD 1830: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",155507,GSWA IMS spots,6608.7,0,,Likely absent from current IMS exports; search source report/lab archive.
