sample_id,geochronid,analysis_document,usable_flag,reason,parse_status,row_parser_used,table_rows_extracted,non_d_rows,d_rows,group_counts,interpretation_notes,error
203748,203748.1,203748.1.pdf,NO_DATA_PARSED,No table rows parsed from PDF or linked data table.,NO_TABLE_ROWS_PARSED,,0,0,0,,"The analyses are concordant to moderately discordant (Fig. 4). Four analyses are >5% discordant. The dates obtained from these four analyses (Group D; Table 1) are unreliable, and are considered not to be geologically significant. The remaining Group I comprises 21 analyses of 19 zircons (Table 1), which yield a concordia age of 1167 ± 5 Ma (MSWD = 1.5). These The date of 1167 ± 5 Ma for the 21 analyses in Group I is interpreted as the magmatic crystallization age of the",
242683,242683.1,242683.1.pdf,NO_DATA_PARSED,No table rows parsed from PDF or linked data table.,NO_TABLE_ROWS_PARSED,,0,0,0,,"The analyses are concordant to strongly discordant (Fig. 3). Eleven analyses are >5% discordant. The dates obtained from these 11 analyses (Group D; Table 1) are unreliable and are considered not to be geologically significant. The remaining 23 Group I comprises seven analyses of five zircons (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2793 ± 8 analyses of 13 zircons in Group X yield a weighted mean 207Pb*/206Pb* date of 2947 ± 5 Ma (MSWD = 1.2). The date of 2793 ± 8 Ma for the seven analyses in Group I is interpreted as the magmatic crystallization age. The dates of 14 analyses in Group X is interpreted as the age of an inherited component.",
