sample_id,geochronid,analysis_document,parser_type,raw_row_text,group_id,spot_no,grain_spot,u238_ppm,th232_ppm,th232_u238,f204_pct,u238_pb206_ratio,u238_pb206_ratio_1sigma,pb207_pb206_ratio,pb207_pb206_ratio_1sigma,u238_pb206_star_ratio,u238_pb206_star_ratio_1sigma,pb207_star_pb206_star_ratio,pb207_star_pb206_star_ratio_1sigma,u238_pb206_star_date_ma,u238_pb206_star_date_1sigma_ma,pb207_star_pb206_star_date_ma,pb207_star_pb206_star_date_1sigma_ma,disc_pct,sample_dlat,sample_dlong,siteid,tectonic_unit,analysis_doc_link,recommended_reference,originator_name,location_join_mode,location_conflict_flag
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,1.1    125       210   121   0.324    0.24041   0.00242   0.43874   0.00558   0.6619   0.0088   21.941    0.386      105        3 123   16,,,1.1,125,210,121,0.324,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,1.2    49 1      702   205   1.623    0.10734   0.00192   0.38408   0.00494   0.3104   0.0033    4.594    0.101       99        I755    33,,,1.2,49,1,702,205,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,3.1   302       135   105   0.177    0.11063   0.00099   0.12604   0.00209   0.3250   0.0093    4.958    0.154      100        1810    16,,,3.1,302,135,105,0.177,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,4.1   234       121    85   0.142    0.11088   0.00103   0.14455   0.00222   0.3333   0.0096    5.095    0.159      102        1814    17,,,4.1,234,121,85,0.142,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,5.1   76 1      765   304   0.293    0.10980   0.00070   0.28853   0.00189   0.3290   0.0093    4.982    0.149      102        1796    12,,,5.1,76,1,765,304,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,6.1   510      1109   247   0.064    0.10906   0.00077   0.60951   0.00320   0.3259   0.0093    4.900    0.148      102        1784    13,,,6.1,510,1109,247,0.064,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,7.1   420       126   144   0.138    0.10942   0.00081   0.08121   0.00144   0.3330   0.0100    5.024    0.160      104        1790    13,,,7.1,420,126,144,0.138,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,8.1   389       963   210   0.210    0.10998   0.00103   0.68998   0.00436   0.3462   0.0105    5.250    0.172      107        1799    17,,,8.1,389,963,210,0.210,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,9.1   418       938   215   0.239    0.10883   0.00102   0.61324   0.00397   0.3451   0.0104    5.179    0.169      I07        1780    17,,,9.1,418,938,215,0.239,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,10.1   362       763   113   0.585    0.11215   0.00149   0.14145   0.00330   0.2846   0.0086    4.400    0.152       88        1835    24,,,10.1,362,763,113,0.585,,,,,,,,,,,,,,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",Nelson D.R.,sample_id+geochronid,
