sample_id,priority_for_spot_retrieval,documents_flag_in_legacy_csv,available_flag_in_legacy_csv,has_igsn_link,igsn_links,mount_ids,doc_types,recommended_refs
W17,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0005I,96-05,SHRIMP Logsheet,"Barley et al., 1997 - Nature - https://doi.org/10.1038/385055a0"
W172,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB000PJ,01-41,,"Evans et al., 2003 - Australian Journal of Earth Sciences - https://doi.org/10.1111/j.1400-0952.2003.01031.x and Pidgeon and Horwitz, 1991 - Australian Journal of Earth Sciences - https://doi.org/10.1080/08120099108727955"
W69,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002V; http://hdl.handle.net/10273/XXAB0003F,95-12; 95-15,SHRIMP Logsheet,
WB 107P,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB00225,B-90,,"B Salier, 2003 - The timing and source of gold-bearing fluids in the Laverton Greenstone Belt, Yilgarn Craton, with emphasis on the Wallaby Gold Deposit - UWA PhD Thesis"
WG 300 MRL,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000I2,99-22,SHRIMP Logsheet,"L Bucci 2001 - An integrated temporal model of deformational, magmatic and hydrothermal mineralization events at the amphibolite-hosted Chalice gold deposit, Yilgarn Craton, Western Australia - UWA PhD Thesis"
WG 50 NON-MAG,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB0021V,A-90,,"B Salier, 2003 - The timing and source of gold-bearing fluids in the Laverton Greenstone Belt, Yilgarn Craton, with emphasis on the Wallaby Gold Deposit - UWA PhD Thesis"
WG-GN,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000I3,99-22,SHRIMP Logsheet,"Bucci et al., 2004 - Economic Geology - 0361-0128/01/3450/1123-22"
WR012,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001W,94-30,SHRIMP Logsheet,
WW 108,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB00224,B-90,,"B Salier, 2003 - The timing and source of gold-bearing fluids in the Laverton Greenstone Belt, Yilgarn Craton, with emphasis on the Wallaby Gold Deposit - UWA PhD Thesis"
WW12,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0005H,96-05,SHRIMP Logsheet,"Barley et al., 1997 - Nature - https://doi.org/10.1038/385055a0"
XTC,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001XX; http://hdl.handle.net/10273/XXAB001Y3; http://hdl.handle.net/10273/XXAB001YC,98-16; 98-44; 98-60; 98-82,SHRIMP Logsheet,"Fletcher et al., 2000 - Australian Journal of Earth Sciences - https://doi.org/10.1046/j.1440-0952.2000.00819.x"
YILGANGIE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000T6,B-60,"SHRIMP Logsheet, Notebook Sketch",
YQ1,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002S,95-11,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ10,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0003T; http://hdl.handle.net/10273/XXAB0004V,95-26; 95-40,,"Qiu et al. 1997, Chronique De La Recherche Miniere - see thesis ,Qiu 1997, Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization: UWA PhD Thesis; Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ11,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0003U,95-26,,"Qiu et al. 1997, Chronique De La Recherche Miniere - see thesis ,Qiu 1997, Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization: UWA PhD Thesis"
YQ13,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002O; http://hdl.handle.net/10273/XXAB0004S,95-10; 95-39,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ14,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002P; http://hdl.handle.net/10273/XXAB0004T,95-10; 95-39,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ17,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0003S; http://hdl.handle.net/10273/XXAB00060,95-26; 96-12,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ18,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001U,94-29,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ19,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002J,95-09,,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002R,95-11,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ21,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002N,95-10,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ22,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002K,95-09,,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ3,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001S,94-29,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ38,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00061,96-12,SHRIMP Logsheet,"Qiu et al. 1999, Aust J Earth Sci: DOI: 10.1046/j.1440-0952.1999.00758.x; Qiu 1997, Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold...: UWA PhD Thesis"
YQ6,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002L,95-09,,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
YQ7,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001T,94-29,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
