dataset,missing_sample_id,reason
GSWA Geochronology,242498,No IMS point within tolerance
GSWA Geochronology,242634,No IMS point within tolerance
GSWA Geochronology,242652,No IMS point within tolerance
GSWA Geochronology,242672,No IMS point within tolerance
GSWA Geochronology,242683,No IMS point within tolerance
GSWA Geochronology,242695,No IMS point within tolerance
GSWA Geochronology,242908,No IMS point within tolerance
GSWA Geochronology,242931,No IMS point within tolerance
GSWA Geochronology,245105,No IMS point within tolerance
GSWA Geochronology,245115,No IMS point within tolerance
GSWA Geochronology,245122,No IMS point within tolerance
GSWA Geochronology,245127,No IMS point within tolerance
GSWA Geochronology,248205,No IMS point within tolerance
GSWA Geochronology,248284,No IMS point within tolerance
GSWA Geochronology,249438,No IMS point within tolerance
McNaughton Legacy SHRIMP,#57 SKARN,No IMS point within tolerance
McNaughton Legacy SHRIMP,113982,No IMS point within tolerance
McNaughton Legacy SHRIMP,144329,No IMS point within tolerance
McNaughton Legacy SHRIMP,1443292,No IMS point within tolerance
McNaughton Legacy SHRIMP,173/40-41,No IMS point within tolerance
McNaughton Legacy SHRIMP,17580N,No IMS point within tolerance
McNaughton Legacy SHRIMP,17580N 1,No IMS point within tolerance
McNaughton Legacy SHRIMP,17580N 2,No IMS point within tolerance
McNaughton Legacy SHRIMP,17580N MAG III,No IMS point within tolerance
McNaughton Legacy SHRIMP,19A-785,No IMS point within tolerance
McNaughton Legacy SHRIMP,236,No IMS point within tolerance
McNaughton Legacy SHRIMP,239,No IMS point within tolerance
McNaughton Legacy SHRIMP,294826/6,No IMS point within tolerance
McNaughton Legacy SHRIMP,32A-1377,No IMS point within tolerance
McNaughton Legacy SHRIMP,32A-588,No IMS point within tolerance
McNaughton Legacy SHRIMP,32A-588.8,No IMS point within tolerance
McNaughton Legacy SHRIMP,32A-603,No IMS point within tolerance
McNaughton Legacy SHRIMP,32A-603.7,No IMS point within tolerance
McNaughton Legacy SHRIMP,396390,No IMS point within tolerance
McNaughton Legacy SHRIMP,396391,No IMS point within tolerance
McNaughton Legacy SHRIMP,396392,No IMS point within tolerance
McNaughton Legacy SHRIMP,396393,No IMS point within tolerance
McNaughton Legacy SHRIMP,396394,No IMS point within tolerance
McNaughton Legacy SHRIMP,396395,No IMS point within tolerance
McNaughton Legacy SHRIMP,396396,No IMS point within tolerance
McNaughton Legacy SHRIMP,396397,No IMS point within tolerance
McNaughton Legacy SHRIMP,397587C,No IMS point within tolerance
McNaughton Legacy SHRIMP,397587Z,No IMS point within tolerance
McNaughton Legacy SHRIMP,3CBS,No IMS point within tolerance
McNaughton Legacy SHRIMP,429121Z COARSE,No IMS point within tolerance
McNaughton Legacy SHRIMP,429121Z FINE,No IMS point within tolerance
McNaughton Legacy SHRIMP,495588Z,No IMS point within tolerance
McNaughton Legacy SHRIMP,60109986,No IMS point within tolerance
McNaughton Legacy SHRIMP,60925,No IMS point within tolerance
McNaughton Legacy SHRIMP,65024000,No IMS point within tolerance
McNaughton Legacy SHRIMP,70650,No IMS point within tolerance
McNaughton Legacy SHRIMP,70727,No IMS point within tolerance
McNaughton Legacy SHRIMP,72263,No IMS point within tolerance
McNaughton Legacy SHRIMP,78,No IMS point within tolerance
McNaughton Legacy SHRIMP,79/16,No IMS point within tolerance
McNaughton Legacy SHRIMP,8400-5/60-65,No IMS point within tolerance
McNaughton Legacy SHRIMP,9305/010,No IMS point within tolerance
McNaughton Legacy SHRIMP,9306/026,No IMS point within tolerance
McNaughton Legacy SHRIMP,9306/032,No IMS point within tolerance
McNaughton Legacy SHRIMP,94003,No IMS point within tolerance
McNaughton Legacy SHRIMP,95YQ-GF,No IMS point within tolerance
McNaughton Legacy SHRIMP,95YQ-NW,No IMS point within tolerance
McNaughton Legacy SHRIMP,95YQ100,No IMS point within tolerance
McNaughton Legacy SHRIMP,95YQ104,No IMS point within tolerance
McNaughton Legacy SHRIMP,95YQ120,No IMS point within tolerance
McNaughton Legacy SHRIMP,95YQ87,No IMS point within tolerance
McNaughton Legacy SHRIMP,97-71-A,No IMS point within tolerance
McNaughton Legacy SHRIMP,97-71-I,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 7038G,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 7069A,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 7069B,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 7150,No IMS point within tolerance
