age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1166.246231,0.273653,0.273653,0.726347,0.726347,200
1176.291457,0.270627,0.270627,0.729373,0.729373,200
1186.336683,0.269897,0.269897,0.730103,0.730103,200
1196.381910,0.270378,0.270378,0.729622,0.729622,200
1206.427136,0.270769,0.270769,0.729231,0.729231,200
1216.472362,0.271361,0.271361,0.728639,0.728639,200
1226.517588,0.271045,0.271045,0.728955,0.728955,200
1236.562814,0.269427,0.269427,0.730573,0.730573,200
1246.608040,0.267015,0.267015,0.732985,0.732985,200
1256.653266,0.265957,0.265957,0.734043,0.734043,200
1266.698492,0.266687,0.266687,0.733313,0.733313,200
1276.743719,0.267218,0.267218,0.732782,0.732782,200
1286.788945,0.267588,0.267588,0.732412,0.732412,200
1296.834171,0.267218,0.267218,0.732782,0.732782,200
1306.879397,0.266002,0.266002,0.733998,0.733998,200
1316.924623,0.265511,0.265511,0.734489,0.734489,200
1326.969849,0.264454,0.264454,0.735546,0.735546,200
1337.015075,0.264730,0.264730,0.735270,0.735270,200
1347.060302,0.265434,0.265434,0.734566,0.734566,200
1357.105528,0.265900,0.265900,0.734100,0.734100,200
1367.150754,0.265827,0.265827,0.734173,0.734173,200
1377.195980,0.264468,0.264468,0.735532,0.735532,200
1387.241206,0.261507,0.261507,0.738493,0.738493,200
1397.286432,0.257721,0.257721,0.742279,0.742279,200
1407.331658,0.252057,0.252057,0.747943,0.747943,200
1417.376884,0.246728,0.246728,0.753272,0.753272,200
1427.422111,0.243529,0.243529,0.756471,0.756471,200
1437.467337,0.240556,0.240556,0.759444,0.759444,200
1447.512563,0.238193,0.238193,0.761807,0.761807,200
1457.557789,0.236323,0.236323,0.763677,0.763677,200
1467.603015,0.235840,0.235840,0.764160,0.764160,200
1477.648241,0.237861,0.237861,0.762139,0.762139,200
1487.693467,0.241169,0.241169,0.758831,0.758831,200
1497.738693,0.246082,0.246082,0.753918,0.753918,200
1507.783920,0.250866,0.250866,0.749134,0.749134,200
1517.829146,0.255538,0.255538,0.744462,0.744462,200
1527.874372,0.259382,0.259382,0.740618,0.740618,200
1537.919598,0.264233,0.264233,0.735767,0.735767,200
1547.964824,0.270096,0.270096,0.729904,0.729904,200
1558.010050,0.276423,0.276423,0.723577,0.723577,200
1568.055276,0.281964,0.281964,0.718036,0.718036,200
1578.100503,0.287827,0.287827,0.712173,0.712173,200
1588.145729,0.294406,0.294406,0.705594,0.705594,200
1598.190955,0.300861,0.300861,0.699139,0.699139,200
1608.236181,0.308715,0.308715,0.691285,0.691285,200
1618.281407,0.317075,0.317075,0.682925,0.682925,200
1628.326633,0.324904,0.324904,0.675096,0.675096,200
1638.371859,0.334177,0.334177,0.665823,0.665823,200
1648.417085,0.343235,0.343235,0.656765,0.656765,200
1658.462312,0.354705,0.354705,0.645295,0.645295,200
1668.507538,0.366584,0.366584,0.633416,0.633416,200
1678.552764,0.382200,0.382200,0.617800,0.617800,200
1688.597990,0.399000,0.399000,0.601000,0.601000,200
1698.643216,0.417704,0.417704,0.582296,0.582296,200
1708.688442,0.440057,0.440057,0.559943,0.559943,200
1718.733668,0.468456,0.468456,0.531544,0.531544,200
1728.778894,0.499028,0.499028,0.500972,0.500972,200
1738.824121,0.533417,0.533417,0.466583,0.466583,200
1748.869347,0.574528,0.574528,0.425472,0.425472,200
1758.914573,0.619681,0.619681,0.380319,0.380319,200
1768.959799,0.664042,0.664042,0.335958,0.335958,200
1779.005025,0.696069,0.696069,0.303931,0.303931,200
1789.050251,0.693681,0.693681,0.306319,0.306319,200
1799.095477,0.660625,0.660625,0.339375,0.339375,200
1809.140704,0.611977,0.611977,0.388023,0.388023,200
1819.185930,0.558945,0.558945,0.441055,0.441055,200
1829.231156,0.503211,0.503211,0.496789,0.496789,200
1839.276382,0.452739,0.452739,0.547261,0.547261,200
1849.321608,0.405334,0.405334,0.594666,0.594666,200
1859.366834,0.361689,0.361689,0.638311,0.638311,200
1869.412060,0.327760,0.327760,0.672240,0.672240,200
1879.457286,0.294793,0.294793,0.705207,0.705207,200
1889.502513,0.266994,0.266994,0.733006,0.733006,200
1899.547739,0.242203,0.242203,0.757797,0.757797,200
1909.592965,0.221047,0.221047,0.778953,0.778953,200
1919.638191,0.203151,0.203151,0.796849,0.796849,200
1929.683417,0.186390,0.186390,0.813610,0.813610,200
1939.728643,0.174035,0.174035,0.825965,0.825965,200
1949.773869,0.162373,0.162373,0.837627,0.837627,200
1959.819095,0.152338,0.152338,0.847662,0.847662,200
1969.864322,0.141714,0.141714,0.858286,0.858286,200
1979.909548,0.132712,0.132712,0.867288,0.867288,200
1989.954774,0.123724,0.123724,0.876276,0.876276,200
2000.000000,0.116833,0.116833,0.883167,0.883167,200
