run,opt_age_Ma
0,1758.914573
1,1758.914573
2,1758.914573
3,1758.914573
4,1758.914573
5,1758.914573
6,1758.914573
7,1768.959799
8,1768.959799
9,1768.959799
10,1768.959799
11,1768.959799
12,1768.959799
13,1768.959799
14,1768.959799
15,1768.959799
16,1768.959799
17,1768.959799
18,1768.959799
19,1768.959799
20,1768.959799
21,1768.959799
22,1768.959799
23,1768.959799
24,1768.959799
25,1768.959799
26,1768.959799
27,1768.959799
28,1768.959799
29,1768.959799
30,1768.959799
31,1768.959799
32,1768.959799
33,1768.959799
34,1768.959799
35,1768.959799
36,1768.959799
37,1768.959799
38,1768.959799
39,1768.959799
40,1768.959799
41,1768.959799
42,1779.005025
43,1779.005025
44,1779.005025
45,1779.005025
46,1779.005025
47,1779.005025
48,1779.005025
49,1779.005025
50,1779.005025
51,1779.005025
52,1779.005025
53,1779.005025
54,1779.005025
55,1779.005025
56,1779.005025
57,1779.005025
58,1779.005025
59,1779.005025
60,1779.005025
61,1779.005025
62,1779.005025
63,1779.005025
64,1779.005025
65,1779.005025
66,1779.005025
67,1779.005025
68,1779.005025
69,1779.005025
70,1779.005025
71,1779.005025
72,1779.005025
73,1779.005025
74,1779.005025
75,1779.005025
76,1779.005025
77,1779.005025
78,1779.005025
79,1779.005025
80,1779.005025
81,1779.005025
82,1779.005025
83,1779.005025
84,1779.005025
85,1779.005025
86,1779.005025
87,1779.005025
88,1779.005025
89,1779.005025
90,1779.005025
91,1779.005025
92,1779.005025
93,1779.005025
94,1779.005025
95,1779.005025
96,1779.005025
97,1779.005025
98,1779.005025
99,1779.005025
100,1779.005025
101,1779.005025
102,1779.005025
103,1779.005025
104,1779.005025
105,1779.005025
106,1779.005025
107,1779.005025
108,1779.005025
109,1779.005025
110,1779.005025
111,1779.005025
112,1779.005025
113,1789.050251
114,1789.050251
115,1789.050251
116,1789.050251
117,1789.050251
118,1789.050251
119,1789.050251
120,1789.050251
121,1789.050251
122,1789.050251
123,1789.050251
124,1789.050251
125,1789.050251
126,1789.050251
127,1789.050251
128,1789.050251
129,1789.050251
130,1789.050251
131,1789.050251
132,1789.050251
133,1789.050251
134,1789.050251
135,1789.050251
136,1789.050251
137,1789.050251
138,1789.050251
139,1789.050251
140,1789.050251
141,1789.050251
142,1789.050251
143,1789.050251
144,1789.050251
145,1789.050251
146,1789.050251
147,1789.050251
148,1789.050251
149,1789.050251
150,1789.050251
151,1789.050251
152,1789.050251
153,1789.050251
154,1789.050251
155,1789.050251
156,1789.050251
157,1789.050251
158,1789.050251
159,1789.050251
160,1789.050251
161,1789.050251
162,1789.050251
163,1789.050251
164,1789.050251
165,1789.050251
166,1789.050251
167,1789.050251
168,1789.050251
169,1789.050251
170,1789.050251
171,1789.050251
172,1789.050251
173,1789.050251
174,1789.050251
175,1789.050251
176,1789.050251
177,1789.050251
178,1789.050251
179,1789.050251
180,1799.095477
181,1799.095477
182,1799.095477
183,1799.095477
184,1799.095477
185,1799.095477
186,1799.095477
187,1799.095477
188,1799.095477
189,1799.095477
190,1799.095477
191,1799.095477
192,1799.095477
193,1799.095477
194,1799.095477
195,1799.095477
196,1799.095477
197,1799.095477
198,1809.140704
199,1809.140704
