uPb,pbPb
3.685705438,0.102692322
2.420754025,0.174265213
3.716306231,0.121713254
3.154588876,0.1272984
2.682741579,0.161484799
3.535482013,0.10727951
2.662621337,0.189601087
2.273561811,0.182822708
2.872357597,0.166032793
1.884247801,0.221957636
3.102167932,0.123697121
2.295363621,0.19461636
2.181814262,0.218117735
3.449980679,0.112265158
2.106405078,0.207276136
2.717497943,0.166989694
3.12303079,0.12371195
1.838214463,0.224842374
2.047238572,0.215803582
1.89481275,0.215920636
2.240638348,0.196032905
1.993714803,0.208872977
1.878545736,0.246498728
2.872362729,0.155912722
3.116864212,0.148263499
2.25584872,0.19320685
2.389009491,0.196193124
2.496996341,0.167835158
3.394985735,0.110624629
1.897484667,0.226480491
3.499839302,0.106632654
2.320095636,0.208183218
3.391215083,0.112188195
2.373843402,0.210832327
2.976902314,0.148014135
2.660391656,0.16245613
2.383268235,0.170753203
2.678307841,0.17788351
2.598029096,0.161425063
3.122654309,0.15296397
2.876341279,0.159376154
2.091343689,0.21281341
2.489912253,0.192378131
2.566114484,0.196298671
3.785143642,0.102545854
3.402646726,0.11395895
1.702183286,0.250996544
2.745021313,0.154004008
2.963202793,0.167304211
2.901448294,0.13200978
3.185395953,0.136335658
3.442160013,0.117881268
2.382279966,0.193996402
2.930139849,0.131007119
2.802629786,0.141481747
2.158422824,0.201380914
2.16197356,0.200785028
2.540949657,0.176451398
3.589475472,0.108650151
3.294811004,0.1187195
2.55301985,0.190074648
3.659081025,0.114763491
2.517649382,0.163660121
3.121959818,0.151962384
2.56446855,0.178308885
2.259727805,0.193377193
2.162751078,0.196547906
2.526021692,0.165854716
3.165701197,0.147271283
3.443590822,0.122896632
3.2508255,0.149582607
2.270320363,0.179477814
2.681596659,0.172129274
2.53832463,0.175431159
3.146392945,0.134067671
3.18601063,0.130456689
3.16932739,0.132835951
2.346412549,0.177394283
3.519169148,0.118606411
2.092951535,0.205013017
3.457818118,0.120609054
3.127154297,0.135695126
2.796145084,0.156318889
3.621294173,0.127820301
3.417204559,0.126547534
5.986460076,0.118723312
3.081832155,0.163538129
4.078922536,0.142633282
3.639899399,0.138288016
6.887604754,0.109481302
8.823056183,0.071634396
4.184644845,0.103633926
6.05517305,0.129122711
3.913994974,0.154919043
3.515747054,0.126829104
8.600365788,0.104006081
4.854541731,0.126768856
3.377765918,0.138501369
3.378151242,0.12292583
5.601281331,0.135823506
3.536163598,0.136679914
3.995017935,0.119714439
4.850182843,0.123255916
3.630280961,0.140993315
4.207581269,0.135574178
3.187078523,0.158510967
4.127160987,0.119633148
6.201131687,0.099040968
3.687115597,0.111914869
5.500146193,0.128902562
3.123133176,0.128061789
4.362719939,0.152355801
5.014834626,0.143250662
3.073174375,0.147527753
3.418163954,0.113887973
4.730513392,0.122319558
3.270056122,0.147711864
3.159066193,0.148303987
3.509954933,0.163339115
3.862919201,0.158480225
