run,opt_age_Ma
0,1447.512563
1,1457.557789
2,1457.557789
3,1457.557789
4,1457.557789
5,1457.557789
6,1457.557789
7,1457.557789
8,1467.603015
9,1467.603015
10,1467.603015
11,1467.603015
12,1467.603015
13,1467.603015
14,1467.603015
15,1467.603015
16,1467.603015
17,1467.603015
18,1467.603015
19,1467.603015
20,1467.603015
21,1467.603015
22,1467.603015
23,1467.603015
24,1467.603015
25,1467.603015
26,1467.603015
27,1467.603015
28,1467.603015
29,1467.603015
30,1467.603015
31,1467.603015
32,1467.603015
33,1467.603015
34,1467.603015
35,1467.603015
36,1467.603015
37,1467.603015
38,1467.603015
39,1467.603015
40,1467.603015
41,1467.603015
42,1467.603015
43,1467.603015
44,1467.603015
45,1467.603015
46,1467.603015
47,1467.603015
48,1467.603015
49,1467.603015
50,1467.603015
51,1467.603015
52,1467.603015
53,1467.603015
54,1467.603015
55,1467.603015
56,1467.603015
57,1467.603015
58,1467.603015
59,1467.603015
60,1467.603015
61,1467.603015
62,1467.603015
63,1467.603015
64,1467.603015
65,1467.603015
66,1467.603015
67,1467.603015
68,1467.603015
69,1467.603015
70,1467.603015
71,1467.603015
72,1467.603015
73,1467.603015
74,1467.603015
75,1467.603015
76,1467.603015
77,1467.603015
78,1467.603015
79,1467.603015
80,1467.603015
81,1467.603015
82,1467.603015
83,1467.603015
84,1467.603015
85,1467.603015
86,1467.603015
87,1467.603015
88,1467.603015
89,1467.603015
90,1467.603015
91,1467.603015
92,1467.603015
93,1467.603015
94,1467.603015
95,1467.603015
96,1467.603015
97,1467.603015
98,1467.603015
99,1467.603015
100,1467.603015
101,1467.603015
102,1477.648241
103,1477.648241
104,1477.648241
105,1477.648241
106,1477.648241
107,1477.648241
108,1477.648241
109,1477.648241
110,1477.648241
111,1477.648241
112,1477.648241
113,1477.648241
114,1477.648241
115,1477.648241
116,1477.648241
117,1477.648241
118,1477.648241
119,1477.648241
120,1477.648241
121,1477.648241
122,1477.648241
123,1477.648241
124,1477.648241
125,1477.648241
126,1477.648241
127,1477.648241
128,1477.648241
129,1477.648241
130,1477.648241
131,1477.648241
132,1477.648241
133,1477.648241
134,1477.648241
135,1477.648241
136,1477.648241
137,1477.648241
138,1477.648241
139,1477.648241
140,1477.648241
141,1477.648241
142,1477.648241
143,1477.648241
144,1477.648241
145,1477.648241
146,1477.648241
147,1477.648241
148,1477.648241
149,1477.648241
150,1477.648241
151,1477.648241
152,1477.648241
153,1477.648241
154,1477.648241
155,1477.648241
156,1477.648241
157,1477.648241
158,1477.648241
159,1477.648241
160,1477.648241
161,1477.648241
162,1477.648241
163,1477.648241
164,1477.648241
165,1477.648241
166,1477.648241
167,1477.648241
168,1477.648241
169,1477.648241
170,1477.648241
171,1477.648241
172,1477.648241
173,1477.648241
174,1477.648241
175,1477.648241
176,1477.648241
177,1477.648241
178,1477.648241
179,1477.648241
180,1477.648241
181,1477.648241
182,1477.648241
183,1477.648241
184,1477.648241
185,1477.648241
186,1477.648241
187,1477.648241
188,1477.648241
189,1487.693467
190,1487.693467
191,1487.693467
192,1487.693467
193,1487.693467
194,1487.693467
195,1487.693467
196,1487.693467
197,1487.693467
198,1487.693467
199,1487.693467
